6	header
postResults v2.0.2	--cr texture,f,p --time 512grains512_tensionX.spectralOut
addCauchy v2.0.2	512grains512_tensionX.txt
addStrainTensors v2.0.2	--left --logarithmic 512grains512_tensionX.txt
addMises v2.0.2	-s Cauchy 512grains512_tensionX.txt
addMises v2.0.2	-e ln(V) 512grains512_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	texture	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	6.13798216321e-12	-5.13004670219e-13	9.78207603579e-14	-5.13004670219e-13	6.92654119504e-12	4.30065306802e-13	9.78207603579e-14	4.30065306802e-13	7.3844186606e-12	6.13798216321e-12	-5.13004670219e-13	9.78207603579e-14	-5.13004670219e-13	6.92654119504e-12	4.30065306802e-13	9.78207603579e-14	4.30065306802e-13	7.3844186606e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6017606294e-12	0.0
6	2.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0002	7.94093388051e-23	-2.3127969927e-21	-6.89455040563e-22	0.999937780351	1.65436122511e-23	9.26442286059e-23	7.41153828848e-22	0.999942801107	40.6589785155	0.544048818918	0.618985326198	0.54390618715	6.16107283356e-07	-0.271789882911	0.618826155711	-0.271791247608	8.80484065573e-07	40.6638343866	0.543971145459	0.618900061632	0.543971145455	6.16019322162e-07	-0.271752444146	0.618900061651	-0.271752444167	8.80362779835e-07	0.000199980002666	0.0	0.0	0.0	-6.22215847226e-05	0.0	0.0	0.0	-5.72005289191e-05	40.6915929895	0.000173151641476
12	4.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0004	1.5881867761e-21	-3.97212130148e-21	8.43724224804e-22	0.999875542643	-4.16899028727e-22	-1.34995875969e-21	-7.41153828848e-22	0.999885585156	81.343756799	1.08843938608	1.23831774424	1.08786877429	5.80309331933e-08	-0.543644457696	1.23768098992	-0.543649917933	7.83286509438e-08	81.3631910449	1.08812868248	1.2379766905	1.08812868249	5.80143678061e-08	-0.543494728779	1.23797669051	-0.54349472878	7.83070779029e-08	0.000399920021327	0.0	0.0	0.0	-0.000124465102459	0.0	0.0	0.0	-0.000114421389877	81.4187007783	0.000346290732539
18	6.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0006	-7.94093388051e-22	-3.21938694406e-21	-2.77105505205e-22	0.999813286879	5.74394217357e-21	1.31025409028e-21	1.16467030247e-21	0.999828352155	122.05434178	1.63317185939	1.85799725547	1.6318877921	8.0815606502e-08	-0.815563638753	1.85656439561	-0.81557592774	9.87856192194e-08	122.098093057	1.63247275429	1.85722989478	1.63247275429	8.07810121009e-08	-0.815226807538	1.85722989479	-0.815226807539	9.8744820343e-08	0.000599820071968	0.0	0.0	0.0	-0.000186730554065	0.0	0.0	0.0	-0.000171662578177	122.181344325	0.000519417282621
24	8.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0008	-5.21454658153e-21	5.33035186729e-21	-4.47670147514e-21	0.999751013054	4.6322114303e-21	-2.77932685818e-21	-1.90582413132e-21	0.999771102102	162.790737649	2.17824628337	2.47802399379	2.17596315795	8.00190899913e-08	-1.08754744607	2.47547639819	-1.08756929931	9.79548405479e-08	162.868560783	2.17700339081	2.47665981523	2.1770033908	7.9973431641e-08	-1.08694873963	2.47665981523	-1.08694873964	9.79009153664e-08	0.000799680170564	0.0	0.0	0.0	-0.000249017948396	0.0	0.0	0.0	-0.000228924099122	162.979544723	0.000692531307131
30	10.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.001	3.78517848304e-21	6.40568666361e-21	2.00674016605e-21	0.999688492644	5.53218393675e-21	-2.91167575619e-22	-3.54695046663e-21	0.999713480419	203.256379062	2.74050252342	3.09455926316	2.73691192829	7.91687503322e-05	-1.33914061927	3.09058203876	-1.33917409221	0.00011620702036	203.377986424	2.73854940669	3.0924311104	2.73854941018	7.91123279026e-05	-1.33821968173	3.09243111986	-1.3382196821	0.000116127103878	0.000999500333083	0.0	0.0	0.0	-0.000311555884495	0.0	0.0	0.0	-0.000286560635577	203.516894875	0.000865826000383
36	12.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0012	1.05879118407e-21	6.88214269644e-21	8.27180612553e-23	0.9996178389	1.10378980939e-20	2.69991751937e-21	-5.08219768353e-21	0.999650947332	237.120132148	3.33613210436	3.41525074323	3.33086014201	0.000871473362509	-1.6344222342	3.40996674565	-1.63447640786	0.00105235716692	237.293612851	3.33329704033	3.41246146443	3.33329705006	0.000870732779491	-1.63308738074	3.4124615293	-1.63308742052	0.00105149769341	0.00119928057548	0.0	0.0	0.0	-0.000382234142163	0.0	0.0	0.0	-0.000349113601062	237.453302313	0.00104347818998
42	14.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0014	2.54109884176e-21	-9.58206021581e-21	1.45583787809e-21	0.999524214249	-3.86458782185e-21	1.5352472169e-21	-3.28225267061e-21	0.999579036635	254.506044983	3.71514035542	3.25902885682	3.70818128981	0.000187274167293	-2.22873253004	3.25310241188	-2.22885492782	0.000279724478945	254.734426835	3.71150883967	3.25602176395	3.71150883871	0.000187091108506	-2.22667608746	3.25602159422	-2.22667624249	0.000279466378289	0.00139902091371	0.0	0.0	0.0	-0.000475898972955	0.0	0.0	0.0	-0.000421051994951	254.906874274	0.00123207126104
48	16.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0016	-2.48815928256e-21	-3.27166475877e-20	-5.65791538986e-21	0.999417702397	-1.16467030247e-21	-1.49223382505e-21	2.75285707858e-21	0.999499970442	261.633930053	3.92898352015	3.23561567062	3.92042299217	-6.66155765621e-05	-2.72953448528	3.22883167678	-2.72975905886	8.6529142377e-05	261.917334036	3.92466963947	3.232329133	3.92466962597	-6.65424350875e-05	-2.72676199352	3.23232917329	-2.72676188292	8.64412514435e-05	0.0015987213637	0.0	0.0	0.0	-0.000582467204091	0.0	0.0	0.0	-0.000500154614469	262.107884847	0.00142747946492
54	18.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0018	-1.08526096367e-20	-7.41153828848e-21	4.18553389952e-21	0.999308032018	-1.31290106824e-20	-3.32692042369e-21	-1.39760436297e-20	0.999417420757	265.334317625	4.06157263082	3.22917613603	4.05146951398	-0.000141564566054	-3.12093015117	3.22149623619	-3.12127180178	-4.06280369543e-05	265.672823085	4.05663824918	3.22560607885	4.05663825567	-0.000141392580062	-3.11747976673	3.2256061232	-3.1174797863	-4.05831201058e-05	0.00179838194138	0.0	0.0	0.0	-0.000692207502344	0.0	0.0	0.0	-0.000582749008225	265.879363356	0.00162513599693
