Trimmed Stress,Trimmed Strain
1.6017606293999999e-12,-6.815842336371989e-18
202.69239871599999,3.865950404749181e-06
230.52864815900003,6.710830282678618e-05
242.21629824400003,0.00020982256374928957
247.525541379,0.00038389236100465395
250.75213107,0.0005681766846298653
253.16962706900003,0.0007563911815327764
255.14485977,0.0009467717079644123
256.79914936299997,0.001138703927881696
258.196326211,0.0013318543775283137
259.409277215,0.0015258638901749734
260.496459427,0.0017204389161106664
269.805870439,0.00423603460944108
276.714843541,0.006757018573033391
283.025809208,0.009274833101722396
289.02728181099997,0.01178791604180175
294.801232625,0.014295828340230897
300.380711455,0.016798349409650158
305.779457486,0.01929543259581784
311.011413403,0.021787037104355204
316.089518187,0.024273134617063867
321.023037713,0.02675370582921605
325.81877061,0.029228729189156148
330.48181090099996,0.03169818626760049
335.017659632,0.03416206014819335
339.431691045,0.03662033430525781
343.728881504,0.03907299764747503
347.91358108300005,0.041520047711427255
351.988740765,0.04396147350603541
355.95816824,0.04639728086194452
359.82665202,0.04882750443088709
363.599083209,0.05125218459134426
367.280187992,0.05367135564646357
370.87444847,0.056085036807023515
374.386537477,0.05849323016429183
377.82049053599997,0.060895934395534215
381.179141323,0.06329314796613857
384.464127117,0.06568487125322413
387.677064417,0.06807111602043353
390.819481358,0.07045190980111765
393.89245954800003,0.0728272900140975
396.89698644699996,0.0751972885512145
