EXP True plastic strain,"EXP True stress, Mpa",1 True plastic strain,"1 True stress, Mpa","2 True plastic strain,-","2 True stress, Mpa","3 True plastic strain,-","3 True stress, Mpa","4 True plastic strain,-","4 True stress, Mpa","5 True plastic strain,-","5 True stress, Mpa","6 True plastic strain,-","6 True stress, Mpa","7 True plastic strain,-","7 True stress, Mpa"
2.11E-05,179.1988068,0.0292,1008.748869,0.0292,996.2381564,0.0292,997.4892277,0.0292,999.9913702,0.0292,1002.493513,0.0292,1004.995655,0.0292,1007.497798
1.77E-05,180.6944885,0.0294,1009.199901,0.0294,996.7501806,0.0294,997.9951526,0.0294,1000.485097,0.0294,1002.975041,0.0294,1005.464985,0.0294,1007.954929
0,182.2407379,0.0296,1009.644311,0.0296,997.2589939,0.0296,998.4975256,0.0296,1000.974589,0.0296,1003.451653,0.0296,1005.928716,0.0296,1008.40578
1.59E-05,182.9176483,0.0298,1010.082198,0.0298,997.7646379,0.0298,998.9963939,0.0298,1001.459906,0.0298,1003.923418,0.0298,1006.38693,0.0298,1008.850442
1.22E-05,184.3112488,0.03,1010.513656,0.03,998.2671535,0.03,999.4918038,0.03,1001.941104,0.03,1004.390405,0.03,1006.839705,0.03,1009.289006
8.54E-06,185.7872009,0.0302,1010.938781,0.0302,998.7665807,0.0302,999.9838007,0.0302,1002.418241,0.0302,1004.852681,0.0302,1007.287121,0.0302,1009.721561
1.20E-05,187.3615875,0.0304,1011.357665,0.0304,999.2629586,0.0304,1000.472429,0.0304,1002.89137,0.0304,1005.310312,0.0304,1007.729253,0.0304,1010.148194
0,188.8276215,0.0306,1011.770399,0.0306,999.7563259,0.0306,1000.957733,0.0306,1003.360548,0.0306,1005.763363,0.0306,1008.166177,0.0306,1010.568992
5.96E-06,190.3610992,0.0308,1012.177075,0.0308,1000.24672,0.0308,1001.439756,0.0308,1003.825827,0.0308,1006.211898,0.0308,1008.597969,0.0308,1010.984039
7.84E-06,191.8239441,0.031,1012.577781,0.031,1000.734179,0.031,1001.918539,0.031,1004.287259,0.031,1006.65598,0.031,1009.0247,0.031,1011.39342
3.80E-06,193.3429108,0.0312,1012.972604,0.0312,1001.218738,0.0312,1002.394124,0.0312,1004.744898,0.0312,1007.095671,0.0312,1009.446444,0.0312,1011.797217
2.84E-06,194.9322052,0.0314,1013.361631,0.0314,1001.700433,0.0314,1002.866553,0.0314,1005.198792,0.0314,1007.531032,0.0314,1009.863272,0.0314,1012.195511
0,196.3779297,0.0316,1013.744948,0.0316,1002.179299,0.0316,1003.335864,0.0316,1005.648994,0.0316,1007.962123,0.0316,1010.275253,0.0316,1012.588383
0,197.8805389,0.0318,1014.122637,0.0318,1002.655371,0.0318,1003.802097,0.0318,1006.095551,0.0318,1008.389004,0.0318,1010.682457,0.0318,1012.97591
7.78E-06,199.0847931,0.032,1014.494782,0.032,1003.128682,0.032,1004.265292,0.032,1006.538512,0.032,1008.811732,0.032,1011.084952,0.032,1013.358172
0,200.6605835,0.0322,1014.861463,0.0322,1003.599265,0.0322,1004.725485,0.0322,1006.977925,0.0322,1009.230364,0.0322,1011.482804,0.0322,1013.735244
1.66E-06,202.1641998,0.0324,1015.222762,0.0324,1004.067153,0.0324,1005.182714,0.0324,1007.413836,0.0324,1009.644958,0.0324,1011.87608,0.0324,1014.107201
0,203.7235565,0.0326,1015.578757,0.0326,1004.532378,0.0326,1005.637016,0.0326,1007.846292,0.0326,1010.055568,0.0326,1012.264844,0.0326,1014.474119
4.96E-06,205.2176056,0.0328,1015.929526,0.0328,1004.994971,0.0328,1006.088427,0.0328,1008.275338,0.0328,1010.462249,0.0328,1012.64916,0.0328,1014.836071
0,206.8589935,0.033,1016.275146,0.033,1005.454963,0.033,1006.536982,0.033,1008.701018,0.033,1010.865055,0.033,1013.029091,0.033,1015.193128
3.39E-06,207.6792297,0.0332,1016.615692,0.0332,1005.912385,0.0332,1006.982715,0.0332,1009.123377,0.0332,1011.264038,0.0332,1013.4047,0.0332,1015.545361
0,208.6720734,0.0334,1016.951239,0.0334,1006.367265,0.0334,1007.425662,0.0334,1009.542457,0.0334,1011.659252,0.0334,1013.776047,0.0334,1015.892841
0,209.0735626,0.0336,1017.28186,0.0336,1006.819633,0.0336,1007.865856,0.0336,1009.958301,0.0336,1012.050747,0.0336,1014.143192,0.0336,1016.235637
2.41E-06,210.6064301,0.0338,1017.607627,0.0338,1007.269518,0.0338,1008.303329,0.0338,1010.370951,0.0338,1012.438573,0.0338,1014.506195,0.0338,1016.573816
8.21E-06,212.250412,0.034,1017.928613,0.034,1007.716949,0.034,1008.738115,0.034,1010.780448,0.034,1012.822781,0.034,1014.865113,0.034,1016.907446
4.41E-06,213.8925018,0.0342,1018.244886,0.0342,1008.161952,0.0342,1009.170245,0.0342,1011.186832,0.0342,1013.203419,0.0342,1015.220005,0.0342,1017.236592
0,215.5037537,0.0344,1018.556516,0.0344,1008.604555,0.0344,1009.599751,0.0344,1011.590143,0.0344,1013.580535,0.0344,1015.570928,0.0344,1017.56132
0,217.1444855,0.0346,1018.863571,0.0346,1009.044785,0.0346,1010.026663,0.0346,1011.990421,0.0346,1013.954178,0.0346,1015.917935,0.0346,1017.881693
0,218.736618,0.0348,1019.166119,0.0348,1009.482667,0.0348,1010.451013,0.0348,1012.387703,0.0348,1014.324393,0.0348,1016.261084,0.0348,1018.197774
6.67E-06,219.9387665,0.035,1019.464226,0.035,1009.918229,0.035,1010.872829,0.035,1012.782028,0.035,1014.691228,0.035,1016.600427,0.035,1018.509626
0,221.7017822,0.0352,1019.757956,0.0352,1010.351496,0.0352,1011.292142,0.0352,1013.173434,0.0352,1015.054726,0.0352,1016.936018,0.0352,1018.81731
2.30E-06,223.3127747,0.0354,1020.047375,0.0354,1010.782492,0.0354,1011.70898,0.0354,1013.561957,0.0354,1015.414933,0.0354,1017.26791,0.0354,1019.120886
0,224.9687653,0.0356,1020.332544,0.0356,1011.211242,0.0356,1012.123372,0.0356,1013.947633,0.0356,1015.771893,0.0356,1017.596154,0.0356,1019.420414
0,226.6169281,0.0358,1020.613528,0.0358,1011.63777,0.0358,1012.535346,0.0358,1014.330498,0.0358,1016.125649,0.0358,1017.920801,0.0358,1019.715952
2.28E-06,227.9724731,0.036,1020.890387,0.036,1012.062101,0.036,1012.94493,0.036,1014.710587,0.036,1016.476244,0.036,1018.241901,0.036,1020.007558
0,229.5864716,0.0362,1021.163181,0.0362,1012.484257,0.0362,1013.35215,0.0362,1015.087934,0.0362,1016.823719,0.0362,1018.559504,0.0362,1020.295288
0,231.3037262,0.0364,1021.431971,0.0364,1012.904262,0.0364,1013.757033,0.0364,1015.462575,0.0364,1017.168116,0.0364,1018.873658,0.0364,1020.5792
0,232.9016724,0.0366,1021.696814,0.0366,1013.322139,0.0366,1014.159606,0.0366,1015.834542,0.0366,1017.509477,0.0366,1019.184412,0.0366,1020.859347
0,234.6923828,0.0368,1021.95777,0.0368,1013.737909,0.0368,1014.559895,0.0368,1016.203867,0.0368,1017.84784,0.0368,1019.491812,0.0368,1021.135784
9.98E-07,236.3915863,0.037,1022.214896,0.037,1014.151595,0.037,1014.957925,0.037,1016.570585,0.037,1018.183245,0.037,1019.795905,0.037,1021.408565
0,238.0283356,0.0372,1022.468246,0.0372,1014.563218,0.0372,1015.353721,0.0372,1016.934726,0.0372,1018.515732,0.0372,1020.096738,0.0372,1021.677743
0,239.7451172,0.0374,1022.717877,0.0374,1014.9728,0.0374,1015.747307,0.0374,1017.296323,0.0374,1018.845339,0.0374,1020.394354,0.0374,1021.94337
3.14E-07,241.3294373,0.0376,1022.963844,0.0376,1015.380361,0.0376,1016.138709,0.0376,1017.655406,0.0376,1019.172103,0.0376,1020.688799,0.0376,1022.205496
0,243.0033417,0.0378,1023.2062,0.0378,1015.785923,0.0378,1016.52795,0.0378,1018.012006,0.0378,1019.496061,0.0378,1020.980117,0.0378,1022.464172
0,244.7552643,0.038,1023.444998,0.038,1016.189505,0.038,1016.915054,0.038,1018.366153,0.038,1019.817252,0.038,1021.26835,0.038,1022.719449
0,246.4109802,0.0382,1023.680291,0.0382,1016.591127,0.0382,1017.300044,0.0382,1018.717876,0.0382,1020.135709,0.0382,1021.553542,0.0382,1022.971375
1.65E-06,248.1600494,0.0384,1023.91213,0.0384,1016.99081,0.0384,1017.682942,0.0384,1019.067206,0.0384,1020.45147,0.0384,1021.835734,0.0384,1023.219998
0,250.0419769,0.0386,1024.140565,0.0386,1017.388573,0.0386,1018.063772,0.0386,1019.41417,0.0386,1020.764569,0.0386,1022.114967,0.0386,1023.465366
0,251.8019104,0.0388,1024.365647,0.0388,1017.784434,0.0388,1018.442555,0.0388,1019.758798,0.0388,1021.07504,0.0388,1022.391283,0.0388,1023.707525
6.34E-06,253.5061035,0.039,1024.587424,0.039,1018.178413,0.039,1018.819314,0.039,1020.101116,0.039,1021.382918,0.039,1022.664721,0.039,1023.946523
0,255.3424835,0.0392,1024.805946,0.0392,1018.570528,0.0392,1019.19407,0.0392,1020.441153,0.0392,1021.688237,0.0392,1022.93532,0.0392,1024.182404
0,257.1989136,0.0394,1025.02126,0.0394,1018.960797,0.0394,1019.566843,0.0394,1020.778936,0.0394,1021.991028,0.0394,1023.203121,0.0394,1024.415214
2.02E-06,257.775177,0.0396,1025.233413,0.0396,1019.349239,0.0396,1019.937656,0.0396,1021.114491,0.0396,1022.291326,0.0396,1023.468161,0.0396,1024.644996
1.39E-05,259.3726196,0.0398,1025.442452,0.0398,1019.73587,0.0398,1020.306528,0.0398,1021.447845,0.0398,1022.589161,0.0398,1023.730477,0.0398,1024.871794
0,260.026886,0.04,1025.648422,0.04,1020.120709,0.04,1020.673481,0.04,1021.779023,0.04,1022.884566,0.04,1023.990108,0.04,1025.095651
1.86E-06,261.7021179,0.0402,1025.851368,0.0402,1020.503773,0.0402,1021.038533,0.0402,1022.108052,0.0402,1023.177571,0.0402,1024.24709,0.0402,1025.316609
0,263.470459,0.0404,1026.051335,0.0404,1020.885079,0.0404,1021.401705,0.0404,1022.434956,0.0404,1023.468207,0.0404,1024.501459,0.0404,1025.53471
6.66E-06,264.9021912,0.0406,1026.248367,0.0406,1021.264643,0.0406,1021.763015,0.0406,1022.75976,0.0406,1023.756505,0.0406,1024.75325,0.0406,1025.749995
0,266.7041626,0.0408,1026.442506,0.0408,1021.642482,0.0408,1022.122484,0.0408,1023.082489,0.0408,1024.042494,0.0408,1025.002499,0.0408,1025.962504
0,268.4886169,0.041,1026.633796,0.041,1022.018612,0.041,1022.48013,0.041,1023.403167,0.041,1024.326204,0.041,1025.249241,0.041,1026.172277
0,270.3303223,0.0412,1026.822277,0.0412,1022.393049,0.0412,1022.835972,0.0412,1023.721818,0.0412,1024.607663,0.0412,1025.493509,0.0412,1026.379354
0,272.1957703,0.0414,1027.007991,0.0414,1022.765809,0.0414,1023.190028,0.0414,1024.038464,0.0414,1024.8869,0.0414,1025.735337,0.0414,1026.583773
0,274.0163574,0.0416,1027.190979,0.0416,1023.136908,0.0416,1023.542315,0.0416,1024.353129,0.0416,1025.163944,0.0416,1025.974758,0.0416,1026.785572
0,275.8857117,0.0418,1027.371281,0.0418,1023.506361,0.0418,1023.892853,0.0418,1024.665837,0.0418,1025.438821,0.0418,1026.211805,0.0418,1026.984789
0,277.6816101,0.042,1027.548935,0.042,1023.874182,0.042,1024.241657,0.042,1024.976608,0.042,1025.711559,0.042,1026.446509,0.042,1027.18146
0,279.5807495,0.0422,1027.723982,0.0422,1024.240387,0.0422,1024.588747,0.0422,1025.285466,0.0422,1025.982185,0.0422,1026.678904,0.0422,1027.375623
0,281.5138245,0.0424,1027.89646,0.0424,1024.604991,0.0424,1024.934138,0.0424,1025.592432,0.0424,1026.250725,0.0424,1026.909019,0.0424,1027.567313
0,283.3310547,0.0426,1028.066405,0.0426,1024.968008,0.0426,1025.277848,0.0426,1025.897527,0.0426,1026.517207,0.0426,1027.136886,0.0426,1027.756565
0,285.2024536,0.0428,1028.233855,0.0428,1025.329453,0.0428,1025.619893,0.0428,1026.200773,0.0428,1026.781654,0.0428,1027.362534,0.0428,1027.943415
0,287.0840454,0.043,1028.398848,0.043,1025.689338,0.043,1025.960289,0.043,1026.502191,0.043,1027.044093,0.043,1027.585995,0.043,1028.127897
0,288.7827454,0.0432,1028.561418,0.0432,1026.04768,0.0432,1026.299053,0.0432,1026.801801,0.0432,1027.304549,0.0432,1027.807296,0.0432,1028.310044
0,290.6744995,0.0434,1028.721601,0.0434,1026.40449,0.0434,1026.636201,0.0434,1027.099624,0.0434,1027.563046,0.0434,1028.026468,0.0434,1028.48989
0,292.5284119,0.0436,1028.879434,0.0436,1026.759783,0.0436,1026.971748,0.0436,1027.395678,0.0436,1027.819608,0.0436,1028.243539,0.0436,1028.667469
0,294.3630371,0.0438,1029.034949,0.0438,1027.113573,0.0438,1027.30571,0.0438,1027.689985,0.0438,1028.074261,0.0438,1028.458536,0.0438,1028.842811
0,296.4379578,0.044,1029.188181,0.044,1027.465871,0.044,1027.638102,0.044,1027.982564,0.044,1028.327026,0.044,1028.671488,0.044,1029.01595
0,298.354187,0.0442,1029.339164,0.0442,1027.816692,0.0442,1027.968939,0.0442,1028.273433,0.0442,1028.577928,0.0442,1028.882422,0.0442,1029.186917
0,299.6017151,0.0444,1029.48793,0.0444,1028.166048,0.0444,1028.298236,0.0444,1028.562613,0.0444,1028.826989,0.0444,1029.091365,0.0444,1029.355742
0,301.582489,0.0446,1029.634513,0.0446,1028.513952,0.0446,1028.626008,0.0446,1028.85012,0.0446,1029.074232,0.0446,1029.298344,0.0446,1029.522457
0,303.5907593,0.0448,1029.778943,0.0448,1028.860416,0.0448,1028.952268,0.0448,1029.135974,0.0448,1029.319679,0.0448,1029.503385,0.0448,1029.687091
0,305.5734863,0.045,1029.921254,0.045,1029.205452,0.045,1029.277032,0.045,1029.420193,0.045,1029.563353,0.045,1029.706513,0.045,1029.849674
0,307.536438,0.0452,1030.061475,0.0452,1029.549074,0.0452,1029.600314,0.0452,1029.702794,0.0452,1029.805274,0.0452,1029.907755,0.0452,1030.010235
0,309.4869385,0.0454,1030.199638,0.0454,1029.891292,0.0454,1029.922127,0.0454,1029.983796,0.0454,1030.045465,0.0454,1030.107134,0.0454,1030.168803
0,311.3962708,0.0456,1030.335772,0.0456,1030.232119,0.0456,1030.242485,0.0456,1030.263215,0.0456,1030.283946,0.0456,1030.304677,0.0456,1030.325407
0,313.4689636,0.0458,1030.469909,0.0458,1030.571567,0.0458,1030.561401,0.0458,1030.54107,0.0458,1030.520738,0.0458,1030.500406,0.0458,1030.480074
0,315.3674316,0.046,1030.602076,0.046,1030.909647,0.046,1030.87889,0.046,1030.817375,0.046,1030.755861,0.046,1030.694347,0.046,1030.632833
0,317.3055725,0.0462,1030.732302,0.0462,1031.24637,0.0462,1031.194963,0.0462,1031.09215,0.0462,1030.989336,0.0462,1030.886523,0.0462,1030.783709
0,319.2900391,0.0464,1030.860618,0.0464,1031.581748,0.0464,1031.509635,0.0464,1031.365409,0.0464,1031.221183,0.0464,1031.076957,0.0464,1030.932731
9.75E-06,320.8288879,0.0466,1030.987049,0.0466,1031.915791,0.0466,1031.822917,0.0466,1031.637169,0.0466,1031.45142,0.0466,1031.265672,0.0466,1031.079923
0,321.4326782,0.0468,1031.111624,0.0468,1032.248512,0.0468,1032.134823,0.0468,1031.907446,0.0468,1031.680068,0.0468,1031.452691,0.0468,1031.225313
0,322.6523132,0.047,1031.234371,0.047,1032.57992,0.047,1032.445365,0.047,1032.176256,0.047,1031.907146,0.047,1031.638036,0.047,1031.368926
1.39E-05,323.7912903,0.0472,1031.355316,0.0472,1032.910027,0.0472,1032.754556,0.0472,1032.443614,0.0472,1032.132671,0.0472,1031.821729,0.0472,1031.510787
2.96E-05,324.617218,0.0474,1031.474485,0.0474,1033.238843,0.0474,1033.062407,0.0474,1032.709536,0.0474,1032.356664,0.0474,1032.003792,0.0474,1031.650921
3.96E-06,325.5979614,0.0476,1031.591905,0.0476,1033.566378,0.0476,1033.368931,0.0476,1032.974036,0.0476,1032.579142,0.0476,1032.184247,0.0476,1031.789352
0,325.7835083,0.0478,1031.707601,0.0478,1033.892644,0.0478,1033.674139,0.0478,1033.237131,0.0478,1032.800122,0.0478,1032.363114,0.0478,1031.926105
0,327.274353,0.048,1031.821599,0.048,1034.217649,0.048,1033.978044,0.048,1033.498834,0.048,1033.019624,0.048,1032.540414,0.048,1032.061204
1.45E-05,327.6083069,0.0482,1031.933923,0.0482,1034.541404,0.0482,1034.280656,0.0482,1033.75916,0.0482,1033.237664,0.0482,1032.716167,0.0482,1032.194671
0,328.0595703,0.0484,1032.044598,0.0484,1034.86392,0.0484,1034.581988,0.0484,1034.018124,0.0484,1033.454259,0.0484,1032.890395,0.0484,1032.326531
0,330.1885376,0.0486,1032.153649,0.0486,1035.185206,0.0486,1034.88205,0.0486,1034.275739,0.0486,1033.669427,0.0486,1033.063116,0.0486,1032.456805
0,332.1537781,0.0488,1032.261099,0.0488,1035.505271,0.0488,1035.180854,0.0488,1034.532019,0.0488,1033.883185,0.0488,1033.23435,0.0488,1032.585516
0,334.0968323,0.049,1032.366971,0.049,1035.824125,0.049,1035.47841,0.049,1034.786979,0.049,1034.095548,0.049,1033.404117,0.049,1032.712687
0,336.1792297,0.0492,1032.471289,0.0492,1036.141779,0.0492,1035.77473,0.0492,1035.040632,0.0492,1034.306534,0.0492,1033.572436,0.0492,1032.838338
0,338.2728577,0.0494,1032.574076,0.0494,1036.45824,0.0494,1036.069824,0.0494,1035.292991,0.0494,1034.516158,0.0494,1033.739325,0.0494,1032.962492
0,340.3028564,0.0496,1032.675354,0.0496,1036.773519,0.0496,1036.363702,0.0496,1035.544069,0.0496,1034.724436,0.0496,1033.904803,0.0496,1033.08517
0,342.3941345,0.0498,1032.775145,0.0498,1037.087624,0.0498,1036.656376,0.0498,1035.793881,0.0498,1034.931385,0.0498,1034.068889,0.0498,1033.206393
0,344.3879089,0.05,1032.873471,0.05,1037.400566,0.05,1036.947856,0.05,1036.042437,0.05,1035.137018,0.05,1034.2316,0.05,1033.326181
0,346.5426636,0.0502,1032.970354,0.0502,1037.712351,0.0502,1037.238152,0.0502,1036.289752,0.0502,1035.341353,0.0502,1034.392953,0.0502,1033.444554
0,348.6647034,0.0504,1033.065815,0.0504,1038.02299,0.0504,1037.527273,0.0504,1036.535838,0.0504,1035.544403,0.0504,1034.552967,0.0504,1033.561532
0,350.678894,0.0506,1033.159874,0.0506,1038.332492,0.0506,1037.81523,0.0506,1036.780706,0.0506,1035.746183,0.0506,1034.711659,0.0506,1033.677136
0,352.7730408,0.0508,1033.252552,0.0508,1038.640864,0.0508,1038.102033,0.0508,1037.02437,0.0508,1035.946708,0.0508,1034.869046,0.0508,1033.791383
0,354.3400574,0.051,1033.34387,0.051,1038.948116,0.051,1038.387691,0.051,1037.266842,0.051,1036.145993,0.051,1035.025144,0.051,1033.904295
0,356.5012207,0.0512,1033.433847,0.0512,1039.254255,0.0512,1038.672214,0.0512,1037.508133,0.0512,1036.344051,0.0512,1035.17997,0.0512,1034.015888
0,358.5718384,0.0514,1033.522504,0.0514,1039.55929,0.0514,1038.955612,0.0514,1037.748254,0.0514,1036.540897,0.0514,1035.33354,0.0514,1034.126182
0,360.7081299,0.0516,1033.609859,0.0516,1039.86323,0.0516,1039.237893,0.0516,1037.987219,0.0516,1036.736544,0.0516,1035.48587,0.0516,1034.235196
0,362.7149658,0.0518,1033.695931,0.0518,1040.166083,0.0518,1039.519068,0.0518,1038.225037,0.0518,1036.931007,0.0518,1035.636977,0.0518,1034.342946
0,364.9267883,0.052,1033.78074,0.052,1040.467856,0.052,1039.799144,0.052,1038.461721,0.052,1037.124298,0.052,1035.786875,0.052,1034.449452
2.70E-07,366.9657898,0.0522,1033.864304,0.0522,1040.768557,0.0522,1040.078132,0.0522,1038.697282,0.0522,1037.316431,0.0522,1035.93558,0.0522,1034.55473
4.49E-07,369.0205994,0.0524,1033.946642,0.0524,1041.068196,0.0524,1040.35604,0.0524,1038.93173,0.0524,1037.507419,0.0524,1036.083108,0.0524,1034.658797
1.03E-05,371.0737915,0.0526,1034.02777,0.0526,1041.366778,0.0526,1040.632877,0.0526,1039.165076,0.0526,1037.697274,0.0526,1036.229473,0.0526,1034.761671
0,373.2389832,0.0528,1034.107708,0.0528,1041.664313,0.0528,1040.908652,0.0528,1039.397331,0.0528,1037.88601,0.0528,1036.374689,0.0528,1034.863369
8.19E-06,375.1276245,0.053,1034.186472,0.053,1041.960807,0.053,1041.183373,0.053,1039.628506,0.053,1038.073639,0.053,1036.518773,0.053,1034.963906
0,377.3058472,0.0532,1034.26408,0.0532,1042.256268,0.0532,1041.457049,0.0532,1039.858612,0.0532,1038.260174,0.0532,1036.661737,0.0532,1035.063299
1.24E-05,378.5878601,0.0534,1034.340549,0.0534,1042.550704,0.0534,1041.729688,0.0534,1040.087657,0.0534,1038.445626,0.0534,1036.803595,0.0534,1035.161564
2.12E-05,380.6454773,0.0536,1034.415895,0.0536,1042.844122,0.0536,1042.001299,0.0536,1040.315654,0.0536,1038.630008,0.0536,1036.944363,0.0536,1035.258718
1.80E-05,382.8157349,0.0538,1034.490135,0.0538,1043.136529,0.0538,1042.27189,0.0538,1040.542611,0.0538,1038.813332,0.0538,1037.084053,0.0538,1035.354774
1.61E-05,384.9512329,0.054,1034.563285,0.054,1043.427933,0.054,1042.541468,0.054,1040.768539,0.054,1038.995609,0.054,1037.222679,0.054,1035.44975
2.83E-05,386.6376038,0.0542,1034.635361,0.0542,1043.71834,0.0542,1042.810043,0.0542,1040.993447,0.0542,1039.176851,0.0542,1037.360255,0.0542,1035.543659
9.28E-06,388.8300476,0.0544,1034.70638,0.0544,1044.007759,0.0544,1043.077621,0.0544,1041.217345,0.0544,1039.357069,0.0544,1037.496793,0.0544,1035.636517
2.13E-05,390.3870544,0.0546,1034.776355,0.0546,1044.296195,0.0546,1043.344211,0.0546,1041.440243,0.0546,1039.536275,0.0546,1037.632307,0.0546,1035.728339
2.80E-05,392.6167297,0.0548,1034.845304,0.0548,1044.583655,0.0548,1043.60982,0.0548,1041.66215,0.0548,1039.714479,0.0548,1037.766809,0.0548,1035.819139
2.52E-05,394.7998047,0.055,1034.91324,0.055,1044.870147,0.055,1043.874456,0.055,1041.883075,0.055,1039.891694,0.055,1037.900312,0.055,1035.908931
1.81E-05,397.0111084,0.0552,1034.980179,0.0552,1045.155677,0.0552,1044.138128,0.0552,1042.103028,0.0552,1040.067928,0.0552,1038.032828,0.0552,1035.997729
1.94E-05,399.1112671,0.0554,1035.046135,0.0554,1045.440253,0.0554,1044.400841,0.0554,1042.322017,0.0554,1040.243194,0.0554,1038.16437,0.0554,1036.085547
2.29E-05,400.8615112,0.0556,1035.111123,0.0556,1045.723879,0.0556,1044.662604,0.0556,1042.540053,0.0556,1040.417501,0.0556,1038.29495,0.0556,1036.172399
1.90E-05,403.0941772,0.0558,1035.175157,0.0558,1046.006564,0.0558,1044.923424,0.0558,1042.757142,0.0558,1040.590861,0.0558,1038.424579,0.0558,1036.258298
1.05E-05,405.2538452,0.056,1035.238251,0.056,1046.288314,0.056,1045.183308,0.056,1042.973295,0.056,1040.763283,0.056,1038.55327,0.056,1036.343258
4.09E-06,407.5003967,0.0562,1035.300419,0.0562,1046.569134,0.0562,1045.442263,0.0562,1043.18852,0.0562,1040.934777,0.0562,1038.681034,0.0562,1036.427291
1.11E-05,409.7356262,0.0564,1035.361674,0.0564,1046.849032,0.0564,1045.700297,0.0564,1043.402825,0.0564,1041.105353,0.0564,1038.807882,0.0564,1036.51041
1.53E-05,411.9733582,0.0566,1035.42203,0.0566,1047.128014,0.0566,1045.957416,0.0566,1043.616219,0.0566,1041.275022,0.0566,1038.933825,0.0566,1036.592629
1.63E-05,414.2263489,0.0568,1035.4815,0.0568,1047.406086,0.0568,1046.213627,0.0568,1043.82871,0.0568,1041.443793,0.0568,1039.058876,0.0568,1036.673959
8.30E-06,416.4020386,0.057,1035.540097,0.057,1047.683253,0.057,1046.468937,0.057,1044.040306,0.057,1041.611675,0.057,1039.183044,0.057,1036.754413
1.59E-05,418.5882874,0.0572,1035.597834,0.0572,1047.959523,0.0572,1046.723354,0.0572,1044.251016,0.0572,1041.778678,0.0572,1039.306341,0.0572,1036.834003
1.33E-05,420.9490967,0.0574,1035.654723,0.0574,1048.234901,0.0574,1046.976883,0.0574,1044.460847,0.0574,1041.944812,0.0574,1039.428776,0.0574,1036.912741
1.72E-05,423.1005554,0.0576,1035.710777,0.0576,1048.509393,0.0576,1047.229531,0.0576,1044.669808,0.0576,1042.110085,0.0576,1039.550362,0.0576,1036.990639
1.33E-05,425.2522888,0.0578,1035.766008,0.0578,1048.783005,0.0578,1047.481305,0.0578,1044.877906,0.0578,1042.274506,0.0578,1039.671107,0.0578,1037.067708
2.23E-05,427.5082397,0.058,1035.820429,0.058,1049.055743,0.058,1047.732211,0.058,1045.085148,0.058,1042.438086,0.058,1039.791023,0.058,1037.14396
1.72E-05,429.7463074,0.0582,1035.87405,0.0582,1049.327612,0.0582,1047.982256,0.0582,1045.291544,0.0582,1042.600831,0.0582,1039.910119,0.0582,1037.219406
2.69E-05,432.0271912,0.0584,1035.926884,0.0584,1049.59862,0.0584,1048.231446,0.0584,1045.497099,0.0584,1042.762752,0.0584,1040.028405,0.0584,1037.294058
2.79E-05,434.2220764,0.0586,1035.978943,0.0586,1049.86877,0.0586,1048.479787,0.0586,1045.701822,0.0586,1042.923856,0.0586,1040.145891,0.0586,1037.367926
3.03E-05,436.3847961,0.0588,1036.030238,0.0588,1050.138069,0.0588,1048.727286,0.0588,1045.905719,0.0588,1043.084153,0.0588,1040.262587,0.0588,1037.441021
3.43E-05,438.7933044,0.059,1036.080779,0.059,1050.406522,0.059,1048.973948,0.059,1046.108799,0.059,1043.24365,0.059,1040.378502,0.059,1037.513353
3.62E-05,441.0932007,0.0592,1036.130578,0.0592,1050.674135,0.0592,1049.219779,0.0592,1046.311068,0.0592,1043.402357,0.0592,1040.493645,0.0592,1037.584934
4.09E-05,443.2654114,0.0594,1036.179647,0.0594,1050.940913,0.0594,1049.464787,0.0594,1046.512533,0.0594,1043.56028,0.0594,1040.608027,0.0594,1037.655774
4.38E-05,445.5533447,0.0596,1036.227995,0.0596,1051.206862,0.0596,1049.708976,0.0596,1046.713202,0.0596,1043.717429,0.0596,1040.721655,0.0596,1037.725882
5.11E-05,447.8570557,0.0598,1036.275633,0.0598,1051.471987,0.0598,1049.952352,0.0598,1046.913081,0.0598,1043.87381,0.0598,1040.83454,0.0598,1037.795269
4.94E-05,450.162262,0.06,1036.322573,0.06,1051.736294,0.06,1050.194922,0.06,1047.112177,0.06,1044.029433,0.06,1040.946689,0.06,1037.863945
4.85E-05,452.4531555,0.0602,1036.368823,0.0602,1051.999786,0.0602,1050.43669,0.0602,1047.310497,0.0602,1044.184304,0.0602,1041.058112,0.0602,1037.931919
5.43E-05,454.7261353,0.0604,1036.414394,0.0604,1052.262471,0.0604,1050.677663,0.0604,1047.508048,0.0604,1044.338432,0.0604,1041.168817,0.0604,1037.999201
5.92E-05,456.9837952,0.0606,1036.459296,0.0606,1052.524353,0.0606,1050.917847,0.0606,1047.704835,0.0606,1044.491824,0.0606,1041.278813,0.0606,1038.065801
5.52E-05,459.3917847,0.0608,1036.503538,0.0608,1052.785436,0.0608,1051.157246,0.0608,1047.900867,0.0608,1044.644487,0.0608,1041.388108,0.0608,1038.131728
5.92E-05,461.5447693,0.061,1036.547132,0.061,1053.045727,0.061,1051.395867,0.061,1048.096148,0.061,1044.796429,0.061,1041.49671,0.061,1038.196991
