EXP True plastic strain,"EXP True stress, Mpa",1 True plastic strain,"1 True stress, Mpa","2 True plastic strain,-","2 True stress, Mpa","3 True plastic strain,-","3 True stress, Mpa","4 True plastic strain,-","4 True stress, Mpa","5 True plastic strain,-","5 True stress, Mpa","6 True plastic strain,-","6 True stress, Mpa","7 True plastic strain,-","7 True stress, Mpa"
1.44E-05,84.94613647,0.007,880.8374964,0.007,894.6870195,0.007,893.3020672,0.007,890.5321626,0.007,887.762258,0.007,884.9923534,0.007,882.2224487
1.64E-05,86.12015533,0.0072,883.1662658,0.0072,896.5862764,0.0072,895.2442754,0.0072,892.5602732,0.0072,889.8762711,0.0072,887.192269,0.0072,884.5082669
3.57E-05,86.54633331,0.0074,885.4608489,0.0074,898.4373598,0.0074,897.1397087,0.0074,894.5444065,0.0074,891.9491044,0.0074,889.3538022,0.0074,886.7585
5.58E-05,86.61971283,0.0076,887.7217476,0.0076,900.2427451,0.0076,898.9906454,0.0076,896.4864459,0.0076,893.9822463,0.0076,891.4780468,0.0076,888.9738473
3.41E-05,86.81493378,0.0078,889.9494562,0.0078,902.0047197,0.0078,900.7991933,0.0078,898.3881407,0.0078,895.977088,0.0078,893.5660353,0.0078,891.1549826
1.37E-05,86.86554718,0.008,892.1444621,0.008,903.7254011,0.008,902.5673072,0.008,900.2511194,0.008,897.9349316,0.008,895.6187438,0.008,893.302556
0,86.91703033,0.0082,894.3072454,0.0082,905.406754,0.0082,904.2968031,0.0082,902.0769014,0.0082,899.8569997,0.0082,897.637098,0.0082,895.4171963
0,86.96311188,0.0084,896.438279,0.0084,907.0506043,0.0084,905.9893717,0.0084,903.8669067,0.0084,901.7444416,0.0084,899.6219766,0.0084,897.4995115
0,87.00734711,0.0086,898.5380291,0.0086,908.6586521,0.0086,907.6465898,0.0086,905.6224652,0.0086,903.5983406,0.0086,901.574216,0.0086,899.5500914
0,87.30645752,0.0088,900.6069548,0.0088,910.2324832,0.0088,909.2699304,0.0088,907.3448247,0.0088,905.419719,0.0088,903.4946133,0.0088,901.5695077
0,87.37495422,0.009,902.6455088,0.009,911.773579,0.009,910.860772,0.009,909.0351579,0.009,907.2095439,0.009,905.3839299,0.009,903.5583158
8.31E-06,87.53673553,0.0092,904.6541368,0.0092,913.2833256,0.0092,912.4204067,0.0092,910.694569,0.0092,908.9687312,0.0092,907.2428934,0.0092,905.5170557
0,88.14886475,0.0094,906.6332781,0.0094,914.7630218,0.0094,913.9500474,0.0094,912.3240987,0.0094,910.69815,0.0094,909.0722012,0.0094,907.4462525
3.59E-06,88.45726013,0.0096,908.5833657,0.0096,916.2138863,0.0096,915.4508343,0.0096,913.9247301,0.0096,912.398626,0.0096,910.8725219,0.0096,909.3464178
0,89.04945374,0.0098,910.504826,0.0098,917.6370644,0.0098,916.9238406,0.0098,915.4973929,0.0098,914.0709452,0.0098,912.6444975,0.0098,911.2180499
0,90.114151,0.01,912.3980793,0.01,919.0336336,0.01,918.3700782,0.01,917.0429673,0.01,915.7158564,0.01,914.3887456,0.01,913.0616347
