6	header
postResults v2.0.2	--cr texture,f,p --time 512grains512_tensionX.spectralOut
addCauchy v2.0.2	512grains512_tensionX.txt
addStrainTensors v2.0.2	--left --logarithmic 512grains512_tensionX.txt
addMises v2.0.2	-s Cauchy 512grains512_tensionX.txt
addMises v2.0.2	-e ln(V) 512grains512_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	texture	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	6.13798216321e-12	-5.13004670219e-13	9.78207603579e-14	-5.13004670219e-13	6.92654119504e-12	4.30065306802e-13	9.78207603579e-14	4.30065306802e-13	7.3844186606e-12	6.13798216321e-12	-5.13004670219e-13	9.78207603579e-14	-5.13004670219e-13	6.92654119504e-12	4.30065306802e-13	9.78207603579e-14	4.30065306802e-13	7.3844186606e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6017606294e-12	0.0
6	2.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0002	7.94093388051e-23	-2.3127969927e-21	-6.89455040563e-22	0.999937780351	1.65436122511e-23	9.26442286059e-23	7.41153828848e-22	0.999942801107	40.6589785155	0.544048818918	0.618985326198	0.54390618715	6.16107283356e-07	-0.271789882911	0.618826155711	-0.271791247608	8.80484065573e-07	40.6638343866	0.543971145459	0.618900061632	0.543971145455	6.16019322162e-07	-0.271752444146	0.618900061651	-0.271752444167	8.80362779835e-07	0.000199980002666	0.0	0.0	0.0	-6.22215847226e-05	0.0	0.0	0.0	-5.72005289191e-05	40.6915929895	0.000173151641476
12	4.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0004	1.5881867761e-21	-3.97212130148e-21	8.43724224804e-22	0.999875542643	-4.16899028727e-22	-1.34995875969e-21	-7.41153828848e-22	0.999885585156	81.343756799	1.08843938608	1.23831774424	1.08786877429	5.80309331933e-08	-0.543644457696	1.23768098992	-0.543649917933	7.83286509438e-08	81.3631910449	1.08812868248	1.2379766905	1.08812868249	5.80143678061e-08	-0.543494728779	1.23797669051	-0.54349472878	7.83070779029e-08	0.000399920021327	0.0	0.0	0.0	-0.000124465102459	0.0	0.0	0.0	-0.000114421389877	81.4187007783	0.000346290732539
18	6.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0006	-7.94093388051e-22	-3.43114518087e-21	-1.18286827595e-22	0.999813286879	3.52048068703e-21	1.31025409028e-21	1.37642853929e-21	0.999828352155	122.05434178	1.63317185939	1.85799725547	1.6318877921	8.08106787632e-08	-0.815563638753	1.85656439561	-0.81557592774	9.87803800076e-08	122.098093057	1.63247275429	1.85722989478	1.63247275429	8.07760864715e-08	-0.815226807538	1.85722989479	-0.815226807539	9.8739583295e-08	0.000599820071968	0.0	0.0	0.0	-0.000186730554065	0.0	0.0	0.0	-0.000171662578177	122.181344325	0.000519417282621
24	8.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0008	1.05879118407e-21	-4.60905037315e-21	-2.10765620079e-21	0.999751013029	-2.75285707858e-21	-3.01755487459e-21	-1.05879118407e-22	0.999771102044	162.790694693	2.17825163569	2.47801939615	2.17596850461	4.27736267104e-07	-1.08753819293	2.47547180513	-1.08756004595	4.0732963702e-07	162.86851782	2.1770087402	2.47665522018	2.1770087402	4.27492203714e-07	-1.08693949162	2.47665522018	-1.08693949162	4.07105397733e-07	0.000799680170564	0.0	0.0	0.0	-0.000249017973403	0.0	0.0	0.0	-0.000228924157136	162.979501281	0.000692531334482
30	10.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.001	-9.79381845263e-22	3.70576914424e-21	1.42233706328e-21	0.999688001531	-4.04987627906e-21	5.55865371636e-21	4.23516473627e-22	0.999712935681	202.729674095	2.76047645113	3.08841799238	2.75685832371	0.000159982572767	-1.32369798359	3.08444697883	-1.32373101001	0.000248123000922	202.851176518	2.75851060237	3.08629557922	2.7585105977	0.0001598686426	-1.32278831591	3.08629558725	-1.32278832674	0.000247952486592	0.000999500333083	0.0	0.0	0.0	-0.000312047150648	0.0	0.0	0.0	-0.000287105529848	202.990566771	0.000866170823934
36	12.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0012	4.49986253229e-21	2.21552055266e-20	-2.91167575619e-22	0.999611456896	9.68793933422e-21	-7.43800806808e-21	-2.11758236814e-22	0.999647730016	232.231589043	3.32010551978	3.21127484142	3.31483769269	0.000721186972746	-1.70580348619	3.20629608461	-1.70586543878	0.000783883706572	232.403724955	3.31729475175	3.20867263793	3.317294734	0.000720576423088	-1.70442121653	3.20867267214	-1.70442127021	0.000783248499367	0.00119928057548	0.0	0.0	0.0	-0.00038861860643	0.0	0.0	0.0	-0.000352332045646	232.559147548	0.00104671361386
42	14.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0014	-5.71747239397e-21	1.11173074327e-21	-6.44539133301e-21	0.999511706248	-1.80259199088e-20	1.13158307797e-21	-1.5881867761e-21	0.999573281253	245.191928279	3.62049983002	3.08459453095	3.61367287157	-0.000201518956871	-2.30468293772	3.07896764965	-2.3048250006	0.00023198080522	245.41643625	3.61698165039	3.08178695327	3.61698170139	-0.000201323133111	-2.30258523045	3.08178688103	-2.30258531306	0.000231769657815	0.00139902091371	0.0	0.0	0.0	-0.000488413006217	0.0	0.0	0.0	-0.000426809817353	245.586777551	0.00123826577774
48	16.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0016	3.01755487459e-21	-7.7291756437e-21	-1.02901268202e-21	0.999404030285	1.85817852804e-20	8.07328277852e-22	-9.3173624198e-21	0.999492587066	250.888512662	3.79428029897	3.07491549799	3.78596148477	-0.000141752030394	-2.74391254961	3.06844575244	-2.74415564019	4.81914388088e-05	251.165568439	3.79014231557	3.07183421256	3.79014231589	-0.000141597437822	-2.74116295283	3.0718342321	-2.74116290649	4.81431475376e-05	0.0015987213637	0.0	0.0	0.0	-0.000596147375541	0.0	0.0	0.0	-0.000507541711507	251.352565527	0.00143462297704
54	18.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0018	7.88799432131e-21	-7.67623608449e-21	-2.66021284997e-21	0.999294277289	2.11758236814e-21	3.95475050862e-21	-1.05879118407e-21	0.999409425119	254.230588586	3.89538668833	3.07293824577	3.88564347498	-2.70807559821e-05	-3.14139496709	3.06560541303	-3.1417569316	-4.68544408764e-05	254.560468612	3.89068533169	3.06958316991	3.89068533945	-2.70480721173e-05	-3.13796514925	3.06958322703	-3.13796513351	-4.68032845593e-05	0.00179838194138	0.0	0.0	0.0	-0.000705971850495	0.0	0.0	0.0	-0.000590749339035	254.763166049	0.00163251764783
