6	header
postResults v2.0.2	--cr texture,f,p --time 512grains512_tensionX.spectralOut
addCauchy v2.0.2	512grains512_tensionX.txt
addStrainTensors v2.0.2	--left --logarithmic 512grains512_tensionX.txt
addMises v2.0.2	-s Cauchy 512grains512_tensionX.txt
addMises v2.0.2	-e ln(V) 512grains512_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	texture	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	6.13798216321e-12	-5.13004670219e-13	9.78207603579e-14	-5.13004670219e-13	6.92654119504e-12	4.30065306802e-13	9.78207603579e-14	4.30065306802e-13	7.3844186606e-12	6.13798216321e-12	-5.13004670219e-13	9.78207603579e-14	-5.13004670219e-13	6.92654119504e-12	4.30065306802e-13	9.78207603579e-14	4.30065306802e-13	7.3844186606e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6017606294e-12	0.0
6	2.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0002	7.94093388051e-23	-2.3127969927e-21	-6.89455040563e-22	0.999937780351	1.65436122511e-23	9.26442286059e-23	7.41153828848e-22	0.999942801107	40.6589785155	0.544048818918	0.618985326198	0.54390618715	6.16107283356e-07	-0.271789882911	0.618826155711	-0.271791247608	8.80484065573e-07	40.6638343866	0.543971145459	0.618900061632	0.543971145455	6.16019322162e-07	-0.271752444146	0.618900061651	-0.271752444167	8.80362779835e-07	0.000199980002666	0.0	0.0	0.0	-6.22215847226e-05	0.0	0.0	0.0	-5.72005289191e-05	40.6915929895	0.000173151641476
12	4.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0004	1.5881867761e-21	-3.97212130148e-21	8.43724224804e-22	0.999875542643	-4.16899028727e-22	-1.34995875969e-21	-7.41153828848e-22	0.999885585156	81.343756799	1.08843938608	1.23831774424	1.08786877429	5.80309331933e-08	-0.543644457696	1.23768098992	-0.543649917933	7.83286509438e-08	81.3631910449	1.08812868248	1.2379766905	1.08812868249	5.80143678061e-08	-0.543494728779	1.23797669051	-0.54349472878	7.83070779029e-08	0.000399920021327	0.0	0.0	0.0	-0.000124465102459	0.0	0.0	0.0	-0.000114421389877	81.4187007783	0.000346290732539
18	6.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0006	-7.94093388051e-22	-3.43114518087e-21	-1.18286827595e-22	0.999813286879	3.52048068703e-21	1.31025409028e-21	1.37642853929e-21	0.999828352155	122.05434178	1.63317185939	1.85799725547	1.6318877921	8.08106787632e-08	-0.815563638753	1.85656439561	-0.81557592774	9.87803800076e-08	122.098093057	1.63247275429	1.85722989478	1.63247275429	8.07760864715e-08	-0.815226807538	1.85722989479	-0.815226807539	9.8739583295e-08	0.000599820071968	0.0	0.0	0.0	-0.000186730554065	0.0	0.0	0.0	-0.000171662578177	122.181344325	0.000519417282621
24	8.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0008	3.36166200942e-21	-5.39321759385e-22	4.56603698129e-22	0.999751013003	-2.11758236814e-22	2.32934060495e-21	1.03232140447e-21	0.999771101983	162.790650642	2.1782566874	2.47801515022	2.17597355098	5.12265915294e-07	-1.08752914013	2.47546756342	-1.08755099294	4.54682854503e-07	162.868473763	2.17701378916	2.47665097665	2.17701378917	5.11973619896e-07	-1.08693044383	2.47665097666	-1.08693044385	4.54432546779e-07	0.000799680170564	0.0	0.0	0.0	-0.000249017999409	0.0	0.0	0.0	-0.000228924218149	162.979457016	0.000692531363145
30	10.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.001	6.61744490042e-22	1.4889251026e-21	-1.88390384509e-21	0.999687858457	3.77194359324e-21	1.6146565557e-21	3.75870870344e-21	0.999712808633	202.592234818	2.76415668978	3.08467001273	2.76053334508	0.000219599467706	-1.32079613545	3.08070342525	-1.32082911298	0.000318721746602	202.713709643	2.7621885712	3.08255061641	2.76218856798	0.000219443109785	-1.31988865087	3.08255062295	-1.31988866401	0.000318502761202	0.000999500333083	0.0	0.0	0.0	-0.000312190269312	0.0	0.0	0.0	-0.000287232614338	202.85305213	0.000866261033142
36	12.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0012	2.64697796017e-21	-1.06673211795e-20	2.22346148654e-21	0.999610153211	-5.66453283476e-21	2.11758236814e-21	2.64697796017e-21	0.999647104246	231.248986064	3.31336180157	3.17277978402	3.30810036142	0.000685607264754	-1.72417761158	3.16785873841	-1.72424137072	0.000744048815064	231.42084033	3.31055881508	3.17021290893	3.31055879883	0.000685027265341	-1.72278269959	3.1702129543	-1.72278272372	0.000743446857002	0.00119928057548	0.0	0.0	0.0	-0.000389922799014	0.0	0.0	0.0	-0.00035295803636	231.575492768	0.00104736478494
42	14.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0014	-1.37642853929e-21	-7.25271961086e-21	-5.39983503875e-21	0.999509525051	2.59403840097e-21	-6.45862622281e-21	5.71747239397e-21	0.999572221255	243.539140287	3.60279073818	3.05646072179	3.59598932271	-0.00020527003942	-2.3159327602	3.0508819552	-2.31607809132	0.000265500008791	243.762925349	3.59929358404	3.05368541527	3.5992936322	-0.000205070788056	-2.3138298628	3.05368537237	-2.31382992242	0.000265258931292	0.00139902091371	0.0	0.0	0.0	-0.000490595271183	0.0	0.0	0.0	-0.00042787026843	243.932880638	0.00123936499364
48	16.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0016	2.69991751937e-21	-4.97631856512e-21	5.59835838576e-21	0.999401654724	-1.18584612616e-20	-3.26901778081e-21	-7.8350547621e-21	0.999491302666	249.021214939	3.7713695261	3.04737166148	3.76309199679	-0.000157896377753	-2.746621554	3.04095595713	-2.7468678989	4.62122085432e-05	249.297121595	3.76726136996	3.04432521324	3.76726136898	-0.00015772438109	-2.74387576473	3.04432522825	-2.74387573328	4.6166010338e-05	0.0015987213637	0.0	0.0	0.0	-0.000598524355973	0.0	0.0	0.0	-0.000508826764385	249.483566056	0.00143586547828
54	18.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0018	-1.21760986168e-21	6.03510974919e-21	3.54695046663e-21	0.999291891499	-6.88214269644e-22	-7.32220278232e-21	-4.6586812099e-21	0.999408011922	252.291843131	3.86629838889	3.04639569859	3.85661871719	-1.53816060695e-05	-3.14573571766	3.0391219022	-3.14610124049	-4.55661891815e-05	252.620167851	3.86163759951	3.04307686752	3.86163760026	-1.5363063676e-05	-3.14230866272	3.04307692046	-3.14230864256	-4.55165480648e-05	0.00179838194138	0.0	0.0	0.0	-0.00070835932824	0.0	0.0	0.0	-0.000592163372127	252.822278649	0.00163380674697
