Trimmed Stress,Trimmed Strain
1.6017606294e-12,-6.81584233637199e-18
40.6915929895,-6.80336863234654e-18
81.4187007783,-1.6367366338800428e-07
122.181344325,-4.911007415774396e-07
162.953466933,-8.544449569431465e-07
199.648822972,1.8823064220692084e-05
218.863146914,0.0001244975903584816
226.142978037,0.00028890363188670005
229.963499932,0.00047030521688578284
232.62082226,0.000657377453565948
234.747903644,0.0008470434215696659
236.517822088,0.0010384455392079776
238.007900753,0.0012311784267235463
239.302144004,0.0014248273593125292
240.465517294,0.0016190656721120282
241.521057668,0.0018137784528994096
251.438914799,0.004326379712396163
259.373282026,0.006842532609088748
266.757532316,0.009355278664588844
273.813323981,0.011863447843215663
280.611114513,0.014366569696777354
287.17822222,0.016864481606589425
293.53448664,0.019357106766471933
299.698137845,0.021844384525375304
305.68177308,0.02432626515766269
311.49435797,0.02680271166583584
317.143186311,0.029273689164995103
322.634670258,0.0317391761330164
327.975270221,0.034199163390940056
333.1707942,0.03665364930195386
338.227218863,0.0391026403743263
343.149007898,0.0415461395639872
347.939650139,0.04398413387928366
352.604437346,0.046416637810617764
357.149614903,0.048843681542312556
361.581199714,0.05126528943722355
365.904059605,0.05368148427638483
370.123659688,0.056092263830847734
374.245151815,0.05849762028005352
378.272860917,0.06089755728227341
382.210442984,0.06329208428716915
386.060694221,0.06568121757267595
389.824912393,0.06806497970451945
393.504204583,0.07044339502321904
397.099861551,0.07281649247660814
400.61294002,0.07518429993219891
