6	header
postResults v2.0.2	--cr texture,f,p --time 512grains512_tensionX.spectralOut
addCauchy v2.0.2	512grains512_tensionX.txt
addStrainTensors v2.0.2	--left --logarithmic 512grains512_tensionX.txt
addMises v2.0.2	-s Cauchy 512grains512_tensionX.txt
addMises v2.0.2	-e ln(V) 512grains512_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	texture	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	6.13798216321e-12	-5.13004670219e-13	9.78207603579e-14	-5.13004670219e-13	6.92654119504e-12	4.30065306802e-13	9.78207603579e-14	4.30065306802e-13	7.3844186606e-12	6.13798216321e-12	-5.13004670219e-13	9.78207603579e-14	-5.13004670219e-13	6.92654119504e-12	4.30065306802e-13	9.78207603579e-14	4.30065306802e-13	7.3844186606e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6017606294e-12	0.0
6	2.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0002	7.94093388051e-23	-2.3127969927e-21	-6.89455040563e-22	0.999937780351	1.65436122511e-23	9.26442286059e-23	7.41153828848e-22	0.999942801107	40.6589785155	0.544048818918	0.618985326198	0.54390618715	6.16107283356e-07	-0.271789882911	0.618826155711	-0.271791247608	8.80484065573e-07	40.6638343866	0.543971145459	0.618900061632	0.543971145455	6.16019322162e-07	-0.271752444146	0.618900061651	-0.271752444167	8.80362779835e-07	0.000199980002666	0.0	0.0	0.0	-6.22215847226e-05	0.0	0.0	0.0	-5.72005289191e-05	40.6915929895	0.000173151641476
12	4.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0004	1.5881867761e-21	-3.97212130148e-21	8.43724224804e-22	0.999875542643	-4.16899028727e-22	-1.34995875969e-21	-7.41153828848e-22	0.999885585156	81.343756799	1.08843938608	1.23831774424	1.08786877429	5.80309331933e-08	-0.543644457696	1.23768098992	-0.543649917933	7.83286509438e-08	81.3631910449	1.08812868248	1.2379766905	1.08812868249	5.80143678061e-08	-0.543494728779	1.23797669051	-0.54349472878	7.83070779029e-08	0.000399920021327	0.0	0.0	0.0	-0.000124465102459	0.0	0.0	0.0	-0.000114421389877	81.4187007783	0.000346290732539
18	6.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0006	-3.83811804225e-22	5.78695556542e-21	1.17046056676e-21	0.999813286879	5.29395592034e-22	-8.73502726856e-22	3.25578289101e-21	0.999828352155	122.05434178	1.63317185939	1.85799725547	1.6318877921	8.07558413231e-08	-0.815563638752	1.85656439561	-0.815575927739	9.87251260395e-08	122.098093057	1.63247275429	1.85722989478	1.63247275429	8.07212725054e-08	-0.815226807537	1.85722989479	-0.815226807538	9.8684352147e-08	0.000599820071968	0.0	0.0	0.0	-0.000186730554065	0.0	0.0	0.0	-0.000171662578178	122.181344325	0.000519417282621
24	8.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0008	-3.123433993e-21	-6.246867986e-21	2.82895769493e-21	0.999750972947	-4.89690922631e-22	1.66759611491e-21	3.44107134822e-22	0.999771034303	162.735929278	2.18255440952	2.47550297366	2.18026668501	3.9022276832e-05	-1.08064194926	2.47295780334	-1.08066363777	8.23033617597e-06	162.813743784	2.18130920669	2.4741402822	2.18130921062	3.90000136301e-05	-1.0800470877	2.47414028339	-1.08004709167	8.22580561837e-06	0.000799680170564	0.0	0.0	0.0	-0.000249058065385	0.0	0.0	0.0	-0.000228991913647	162.924661795	0.000692567011571
30	10.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.001	8.20563167653e-22	-1.08790794163e-20	1.5683344414e-21	0.999682443176	9.21148330139e-21	2.01170324973e-21	9.52912065661e-22	0.99970962095	198.216301199	2.77918845795	2.87545679533	2.77553039467	0.00107185506145	-1.35514262091	2.87175013515	-1.35517947055	0.0012621001297	198.336859002	2.77721849197	2.87349670961	2.77721850934	0.00107109530081	-1.35421887352	2.87349677195	-1.3542188817	0.00126123980572	0.000999500333083	0.0	0.0	0.0	-0.000317607255845	0.0	0.0	0.0	-0.00029042121816	198.470296409	0.000869151449508
36	12.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0012	3.1763735522e-21	8.76149704816e-21	4.30795663018e-21	0.99958859444	-1.58024584222e-20	3.44107134822e-22	4.12928561786e-21	0.999637588871	215.424935212	3.1553205173	2.74160671178	3.15024213122	-4.51056258297e-05	-1.93331875157	2.73732816269	-1.93341366802	0.000138862714048	215.591731548	3.15268123766	2.73944775094	3.15268125853	-4.50678970604e-05	-1.93179630145	2.7394475845	-1.93179645693	0.000138753362419	0.00119928057548	0.0	0.0	0.0	-0.000411490210485	0.0	0.0	0.0	-0.000362476815784	215.738967142	0.0010578879364
42	14.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0014	-4.23516473627e-21	1.90582413132e-20	-1.35326748214e-21	0.999481562728	-6.2998075452e-21	7.32882022722e-21	-2.96461531539e-21	0.999557664859	221.866905901	3.34783003204	2.72518792542	3.34141640877	-0.000160520120168	-2.39633470937	2.72017426241	-2.39651709104	3.05892909062e-05	222.080223525	3.34462906954	2.72278959183	3.34462906911	-0.000160366641981	-2.39422578691	2.72278961916	-2.39422570789	3.05623704421e-05	0.00139902091371	0.0	0.0	0.0	-0.000518571707068	0.0	0.0	0.0	-0.000442433000047	222.244576625	0.00125378636125
48	16.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0016	1.79994501292e-21	-8.78796682776e-21	7.24610216596e-21	0.999371838593	2.13875819182e-20	-4.56438262007e-21	-2.32934060495e-21	0.999474553024	225.276836703	3.45149037795	2.72221054326	3.44381218914	-4.72655766588e-05	-2.79336844595	2.71643392729	-2.79365552857	-7.38255561402e-05	225.53694357	3.44778844506	2.71957029322	3.4477884488	-4.72148814594e-05	-2.79065918043	2.71957034881	-2.79065916348	-7.3753953329e-05	0.0015987213637	0.0	0.0	0.0	-0.000628358783037	0.0	0.0	0.0	-0.000525585071639	225.716976449	0.00145167537288
54	18.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0018	-1.26525546496e-20	-1.51407139322e-20	6.74979379843e-21	0.999261822012	-1.65171424715e-20	1.17393472534e-20	4.87043944671e-21	0.999389783814	227.660405651	3.49575121318	2.70712743693	3.48689427598	2.96151852025e-05	-3.17057343903	2.70061439883	-3.17097949319	-7.3640478405e-05	227.967693273	3.4916007982	2.70425958778	3.49160075731	2.95800238593e-05	-3.16721462916	2.70425958858	-3.16721467127	-7.35624659034e-05	0.00179838194138	0.0	0.0	0.0	-0.000738450575525	0.0	0.0	0.0	-0.000610402443673	228.16197281	0.00165019579691
