6	header
postResults v2.0.2	--cr texture,f,p --time 512grains512_tensionX.spectralOut
addCauchy v2.0.2	512grains512_tensionX.txt
addStrainTensors v2.0.2	--left --logarithmic 512grains512_tensionX.txt
addMises v2.0.2	-s Cauchy 512grains512_tensionX.txt
addMises v2.0.2	-e ln(V) 512grains512_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	texture	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	6.13798216321e-12	-5.13004670219e-13	9.78207603579e-14	-5.13004670219e-13	6.92654119504e-12	4.30065306802e-13	9.78207603579e-14	4.30065306802e-13	7.3844186606e-12	6.13798216321e-12	-5.13004670219e-13	9.78207603579e-14	-5.13004670219e-13	6.92654119504e-12	4.30065306802e-13	9.78207603579e-14	4.30065306802e-13	7.3844186606e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6017606294e-12	0.0
6	2.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0002	7.94093388051e-23	-2.3127969927e-21	-6.89455040563e-22	0.999937780351	1.65436122511e-23	9.26442286059e-23	7.41153828848e-22	0.999942801107	40.6589785155	0.544048818918	0.618985326198	0.54390618715	6.16107283356e-07	-0.271789882911	0.618826155711	-0.271791247608	8.80484065573e-07	40.6638343866	0.543971145459	0.618900061632	0.543971145455	6.16019322162e-07	-0.271752444146	0.618900061651	-0.271752444167	8.80362779835e-07	0.000199980002666	0.0	0.0	0.0	-6.22215847226e-05	0.0	0.0	0.0	-5.72005289191e-05	40.6915929895	0.000173151641476
12	4.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0004	1.5881867761e-21	-3.97212130148e-21	8.43724224804e-22	0.999875542643	-4.16899028727e-22	-1.34995875969e-21	-7.41153828848e-22	0.999885585156	81.343756799	1.08843938608	1.23831774424	1.08786877429	5.80309331933e-08	-0.543644457696	1.23768098992	-0.543649917933	7.83286509438e-08	81.3631910449	1.08812868248	1.2379766905	1.08812868249	5.80143678061e-08	-0.543494728779	1.23797669051	-0.54349472878	7.83070779029e-08	0.000399920021327	0.0	0.0	0.0	-0.000124465102459	0.0	0.0	0.0	-0.000114421389877	81.4187007783	0.000346290732539
18	6.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0006	-1.01908651467e-21	-2.10765620079e-21	2.58080351117e-22	0.999813286879	1.28378431068e-21	4.6322114303e-22	-4.23516473627e-22	0.999828352155	122.05434178	1.63317185939	1.85799725547	1.6318877921	8.0829678898e-08	-0.815563638752	1.85656439561	-0.815575927739	9.87973154849e-08	122.098093057	1.63247275429	1.85722989478	1.63247275429	8.0795078473e-08	-0.815226807537	1.85722989479	-0.815226807538	9.87565117778e-08	0.000599820071968	0.0	0.0	0.0	-0.000186730554065	0.0	0.0	0.0	-0.000171662578177	122.181344325	0.000519417282621
24	8.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0008	3.67929936464e-21	-4.23516473627e-22	-2.02659250075e-21	0.999750955979	3.44107134822e-22	-5.82335151237e-22	-8.99972506458e-22	0.999771006516	162.713189741	2.18382159638	2.4752161923	2.18153250835	5.49576867723e-05	-1.07899297013	2.47267125073	-1.07901461343	1.87841124047e-05	162.791000661	2.18257573125	2.47385370069	2.18257573694	5.49263335402e-05	-1.07839903459	2.4738537045	-1.07839903811	1.87737726228e-05	0.000799680170564	0.0	0.0	0.0	-0.000249075037612	0.0	0.0	0.0	-0.000229019707011	162.901926013	0.000692581826868
30	10.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.001	5.55865371636e-22	-3.70576914424e-22	-2.74623963368e-21	0.999681548637	6.81596824744e-21	-1.27054942088e-21	2.01170324973e-21	0.99970915649	197.525259552	2.77891340745	2.8449595068	2.77525322048	0.00107962995056	-1.36200646037	2.84129084588	-1.36204410064	0.00131653218363	197.645665737	2.77694492659	2.84302275388	2.7769449416	0.0010788651801	-1.3610792521	2.84302282179	-1.3610792783	0.00131563593272	0.000999500333083	0.0	0.0	0.0	-0.000318502079403	0.0	0.0	0.0	-0.000290885813176	197.778351037	0.000869609033984
36	12.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0012	-6.45862622281e-21	-3.75870870344e-21	-1.15143541267e-21	0.999586221463	-2.64697796017e-23	4.82411733241e-21	-5.08219768353e-21	0.999636510538	213.667897428	3.14021358263	2.70776343264	3.13515208574	-0.000164070774137	-1.94876582288	2.70353479443	-1.94886401485	0.000106461097538	213.834071647	3.13759032384	2.70563754577	3.13759036242	-0.000163933713364	-1.94723583115	2.70563739285	-1.94723598079	0.000106377514073	0.00119928057548	0.0	0.0	0.0	-0.00041386416696	0.0	0.0	0.0	-0.000363555540307	213.981056474	0.00105905866408
42	14.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0014	2.43521972336e-21	5.71747239397e-21	7.90288357233e-21	0.999478592265	-4.47339275269e-21	1.90747849255e-21	-8.78796682776e-21	0.999556115062	219.564296868	3.32405862182	2.69423935363	3.31768067805	-0.000204239313215	-2.40436674756	2.68927845123	-2.40455317289	1.31651472537e-05	219.776394545	3.32088553687	2.69187625696	3.32088553592	-0.00020404435014	-2.40225789593	2.69187627666	-2.40225783085	1.3153600204e-05	0.00139902091371	0.0	0.0	0.0	-0.000521543715283	0.0	0.0	0.0	-0.000443983484082	219.940540867	0.00125532194134
48	16.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0016	3.25578289101e-21	-1.5881867761e-22	1.2361387074e-20	0.999368520313	-1.27054942088e-21	3.59575412277e-21	-1.07996700775e-20	0.999472593047	222.587427899	3.41705989853	2.69278516172	3.40944697148	-2.41605704709e-05	-2.79904497757	2.68706571221	-2.79933644465	-7.58937481506e-05	222.845606477	3.41340158812	2.69018238351	3.41340158015	-2.41347041212e-05	-2.7963394913	2.69018243273	-2.79633947007	-7.58203911681e-05	0.0015987213637	0.0	0.0	0.0	-0.000631679154275	0.0	0.0	0.0	-0.000527546080967	223.025358019	0.00145346661574
54	18.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0018	-7.7821152029e-21	4.34104385468e-21	-2.56756862136e-21	0.999258153044	2.11758236814e-20	1.55245257364e-20	1.65171424715e-20	0.999387505408	224.629816537	3.4548521305	2.67211104903	3.44608616643	2.99874344483e-05	-3.16235739238	2.66567617888	-3.16276680857	-7.98779740736e-05	224.934352271	3.45075814097	2.66929009596	3.45075810356	2.99518994274e-05	-3.15901888525	2.6692900965	-3.15901893928	-7.97936467338e-05	0.00179838194138	0.0	0.0	0.0	-0.000742122260618	0.0	0.0	0.0	-0.00061268224344	225.127765431	0.00165221378908
