6	header
postResults v2.0.2	--cr texture,f,p --time 512grains512_tensionX.spectralOut
addCauchy v2.0.2	512grains512_tensionX.txt
addStrainTensors v2.0.2	--left --logarithmic 512grains512_tensionX.txt
addMises v2.0.2	-s Cauchy 512grains512_tensionX.txt
addMises v2.0.2	-e ln(V) 512grains512_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	texture	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	6.13798216321e-12	-5.13004670219e-13	9.78207603579e-14	-5.13004670219e-13	6.92654119504e-12	4.30065306802e-13	9.78207603579e-14	4.30065306802e-13	7.3844186606e-12	6.13798216321e-12	-5.13004670219e-13	9.78207603579e-14	-5.13004670219e-13	6.92654119504e-12	4.30065306802e-13	9.78207603579e-14	4.30065306802e-13	7.3844186606e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6017606294e-12	0.0
6	2.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0002	1.17128774738e-21	4.61566781805e-22	-1.07947069938e-22	0.999937780351	-2.97785020519e-22	5.88952596138e-22	-3.90429249125e-22	0.999942801107	40.6589785155	0.544048818916	0.618985326197	0.543906187148	6.1608646798e-07	-0.271789882917	0.61882615571	-0.271791247614	8.80460912737e-07	40.6638343866	0.543971145457	0.618900061631	0.543971145453	6.15998509758e-07	-0.271752444152	0.61890006165	-0.271752444173	8.80339630189e-07	0.000199980002666	0.0	0.0	0.0	-6.22215847224e-05	0.0	0.0	0.0	-5.72005289189e-05	40.6915929895	0.000173151641476
12	4.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0004	3.0440246542e-22	-1.07533479632e-22	-1.02653114018e-21	0.999875542643	0.0	9.26442286059e-23	1.33672386989e-21	0.999885585156	81.3437567991	1.08843938608	1.23831774424	1.08786877428	5.80579367672e-08	-0.543644457716	1.23768098991	-0.543649917952	7.83543998191e-08	81.363191045	1.08812868248	1.2379766905	1.08812868248	5.80413636716e-08	-0.543494728799	1.2379766905	-0.543494728799	7.83328196866e-08	0.000399920021327	0.0	0.0	0.0	-0.00012446510246	0.0	0.0	0.0	-0.000114421389878	81.4187007784	0.000346290732539
18	6.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0006	-2.76609196838e-21	1.81317990272e-21	1.41944193114e-21	0.999813286879	5.04249301412e-21	-1.5881867761e-21	2.32934060495e-21	0.999828352155	122.05434178	1.63317185938	1.85799725546	1.63188779209	8.07862371756e-08	-0.815563638779	1.8565643956	-0.815575927766	9.87575099476e-08	122.098093057	1.63247275428	1.85722989477	1.63247275428	8.07516553465e-08	-0.815226807564	1.85722989478	-0.815226807565	9.87167226804e-08	0.000599820071968	0.0	0.0	0.0	-0.000186730554065	0.0	0.0	0.0	-0.000171662578177	122.181344325	0.000519417282621
24	8.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0008	5.29395592034e-22	-2.82234025003e-21	-1.85288457212e-21	0.999750955999	-2.50139417236e-21	-1.82641479252e-21	-9.26442286059e-22	0.999771006545	162.713214294	2.18381947187	2.47521757801	2.18153038612	5.490504407e-05	-1.07899660085	2.47267263508	-1.07901824423	1.8778127547e-05	162.791025218	2.18257360789	2.47385508559	2.18257361359	5.48737208688e-05	-1.07840266329	2.47385508939	-1.07840266681	1.87677910591e-05	0.000799680170564	0.0	0.0	0.0	-0.000249075017607	0.0	0.0	0.0	-0.000229019678005	162.901950633	0.00069258181062
30	10.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.001	-2.46168950296e-21	-4.7380905487e-21	-9.3967717586e-22	0.999681551938	2.63374307037e-21	1.00585162486e-21	-2.75285707858e-21	0.999709158563	197.527991652	2.77887024136	2.84505438258	2.77521012043	0.00107879731082	-1.36201263113	2.84138560512	-1.36205026987	0.00131536484862	197.64839844	2.77690178532	2.84311755569	2.77690180035	0.00107803312793	-1.36108541416	2.84311762351	-1.36108544034	0.00131446938805	0.000999500333083	0.0	0.0	0.0	-0.000318498777351	0.0	0.0	0.0	-0.000290883739573	197.781085287	0.000869607229396
36	12.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0012	5.55865371636e-21	-1.72053567411e-21	-4.36751363428e-22	0.999586242796	-3.0440246542e-21	-1.6014216659e-21	5.08219768353e-21	0.999636519613	213.683363665	3.14018815254	2.70808918615	3.13512676315	-0.000163162512083	-1.9485587896	2.70386006387	-1.94865694716	0.000107287185154	213.849543408	3.13756488651	2.70596298578	3.13756492469	-0.00016302620857	-1.94702891886	2.70596283295	-1.94702906841	0.000107202950833	0.00119928057548	0.0	0.0	0.0	-0.00041384282513	0.0	0.0	0.0	-0.000363546462008	213.996522322	0.00105904833368
42	14.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0014	-2.54109884176e-21	2.32934060495e-21	-1.38470034541e-21	0.999478640648	-6.45862622281e-21	2.19368298449e-21	4.44692297309e-21	0.999556137108	219.600143067	3.32414275562	2.69450926185	3.31776481144	-0.000202618179744	-2.40394895441	2.68954792167	-2.40413528462	1.47225022693e-05	219.812259883	3.32096951711	2.69214579813	3.32096951658	-0.000202424759708	-2.40184035296	2.6921458177	-2.40184028852	1.47095885634e-05	0.00139902091371	0.0	0.0	0.0	-0.000521495307043	0.0	0.0	0.0	-0.000443961428292	219.976377892	0.00125529792563
48	16.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0016	5.66453283476e-21	1.11173074327e-21	-1.67090483736e-21	0.999368594802	-1.62524446754e-20	1.55038462211e-20	-6.56450534122e-21	0.999472636633	222.647553157	3.41748449504	2.69302413116	3.40987087632	-2.49081725886e-05	-2.79893839386	2.68730429144	-2.7992297632	-7.49937014511e-05	222.905775139	3.41382558119	2.69042092143	3.41382557335	-2.48815047697e-05	-2.79623280219	2.69042097083	-2.79623278089	-7.49212088467e-05	0.0015987213637	0.0	0.0	0.0	-0.00063160461821	0.0	0.0	0.0	-0.000527502471969	223.085502219	0.00145342652926
54	18.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0018	-8.02034321931e-21	1.43466205441e-20	-3.34842711961e-21	0.999258254727	6.67038445963e-21	-1.46113183401e-20	7.8350547621e-21	0.999387572758	224.715911118	3.45557691549	2.67259686314	3.44680946353	2.92859265769e-05	-3.16297377385	2.66616100279	-3.1633831608	-7.99632257076e-05	225.02052551	3.4514818345	2.66977512552	3.45148179743	2.92512208695e-05	-3.15963429448	2.6697751261	-3.15963434821	-7.98788002392e-05	0.00179838194138	0.0	0.0	0.0	-0.000742020502133	0.0	0.0	0.0	-0.000612614852165	225.213941482	0.00165215656614
