6	header
postResults v2.0.2	--cr texture,f,p --time 512grains512_tensionX.spectralOut
addCauchy v2.0.2	512grains512_tensionX.txt
addStrainTensors v2.0.2	--left --logarithmic 512grains512_tensionX.txt
addMises v2.0.2	-s Cauchy 512grains512_tensionX.txt
addMises v2.0.2	-e ln(V) 512grains512_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	texture	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	6.13798216321e-12	-5.13004670219e-13	9.78207603579e-14	-5.13004670219e-13	6.92654119504e-12	4.30065306802e-13	9.78207603579e-14	4.30065306802e-13	7.3844186606e-12	6.13798216321e-12	-5.13004670219e-13	9.78207603579e-14	-5.13004670219e-13	6.92654119504e-12	4.30065306802e-13	9.78207603579e-14	4.30065306802e-13	7.3844186606e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6017606294e-12	0.0
6	2.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0002	1.17128774738e-21	4.61566781805e-22	-1.07947069938e-22	0.999937780351	-2.97785020519e-22	5.88952596138e-22	-3.90429249125e-22	0.999942801107	40.6589785155	0.544048818916	0.618985326197	0.543906187148	6.1608646798e-07	-0.271789882917	0.61882615571	-0.271791247614	8.80460912737e-07	40.6638343866	0.543971145457	0.618900061631	0.543971145453	6.15998509758e-07	-0.271752444152	0.61890006165	-0.271752444173	8.80339630189e-07	0.000199980002666	0.0	0.0	0.0	-6.22215847224e-05	0.0	0.0	0.0	-5.72005289189e-05	40.6915929895	0.000173151641476
12	4.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0004	3.0440246542e-22	-1.07533479632e-22	-1.02653114018e-21	0.999875542643	0.0	9.26442286059e-23	1.33672386989e-21	0.999885585156	81.3437567991	1.08843938608	1.23831774424	1.08786877428	5.80579367672e-08	-0.543644457716	1.23768098991	-0.543649917952	7.83543998191e-08	81.363191045	1.08812868248	1.2379766905	1.08812868248	5.80413636716e-08	-0.543494728799	1.2379766905	-0.543494728799	7.83328196866e-08	0.000399920021327	0.0	0.0	0.0	-0.00012446510246	0.0	0.0	0.0	-0.000114421389878	81.4187007784	0.000346290732539
18	6.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0006	-2.76609196838e-21	1.81317990272e-21	1.41944193114e-21	0.999813286879	5.04249301412e-21	-1.5881867761e-21	2.32934060495e-21	0.999828352155	122.05434178	1.63317185938	1.85799725546	1.63188779209	8.07862371756e-08	-0.815563638779	1.8565643956	-0.815575927766	9.87575099476e-08	122.098093057	1.63247275428	1.85722989477	1.63247275428	8.07516553465e-08	-0.815226807564	1.85722989478	-0.815226807565	9.87167226804e-08	0.000599820071968	0.0	0.0	0.0	-0.000186730554065	0.0	0.0	0.0	-0.000171662578177	122.181344325	0.000519417282621
24	8.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0008	1.40289831889e-21	2.85542747453e-21	3.98701055251e-22	0.999750955938	3.30872245021e-21	1.16467030247e-21	-1.90582413132e-21	0.999771006453	162.713137156	2.18382615049	2.47521319758	2.18153705761	5.50753995895e-05	-1.07898517848	2.47266825894	-1.07900682161	1.87943371377e-05	162.790948068	2.1825802829	2.47385070772	2.1825802886	5.50439792059e-05	-1.07839124727	2.47385071154	-1.0783912508	1.87839917284e-05	0.000799680170564	0.0	0.0	0.0	-0.000249075078622	0.0	0.0	0.0	-0.000229019770026	162.901873284	0.000692581861326
30	10.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.001	3.20284333181e-21	5.29395592034e-22	-1.99185091503e-21	0.999681541467	3.73223892384e-21	4.02340649946e-21	2.38228016415e-21	0.999709151985	197.519322248	2.7790072337	2.84475350557	2.77534690336	0.00108204689719	-1.36199323574	2.84108509768	-1.36203087933	0.00131967440246	197.639727122	2.77703869889	2.84281691328	2.77703871401	0.00108128041952	-1.36106604623	2.84281698137	-1.36106607249	0.00131877602189	0.000999500333083	0.0	0.0	0.0	-0.000318509251687	0.0	0.0	0.0	-0.000290890319487	197.772408467	0.000869612954417
36	12.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0012	2.48815928256e-21	-1.02173349263e-20	5.74394217357e-21	0.999586175048	-9.52912065661e-22	8.22548401123e-21	-3.28225267061e-21	0.999636490817	213.634257944	3.14026929467	2.7070557562	3.13520756323	-0.000165935526077	-1.94921542843	2.7028281695	-1.94931369599	0.000105799080087	213.800420147	3.13764605124	2.70493055054	3.13764609065	-0.000165796910806	-1.94768517415	2.70493039733	-1.9476853247	0.000105716021286	0.00119928057548	0.0	0.0	0.0	-0.000413910601175	0.0	0.0	0.0	-0.000363575268478	213.947417253	0.00105908113289
42	14.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0014	-4.23516473627e-21	1.75759336555e-20	3.06222262767e-21	0.999478486986	9.52912065661e-21	-2.46168950296e-21	6.35274710441e-22	0.99955606707	219.486285284	3.32387633753	2.69365396679	3.31749839396	-0.000207166386641	-2.40527740458	2.68869401304	-2.40546403798	1.08929575145e-05	219.698341293	3.32070358602	2.69129166705	3.32070358497	-0.000206968639373	-2.40316800736	2.6912916866	-2.40316794183	1.08834045314e-05	0.00139902091371	0.0	0.0	0.0	-0.000521649049211	0.0	0.0	0.0	-0.000444031497396	219.862548573	0.00125537420547
48	16.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0016	-2.72638729897e-21	6.14098886759e-21	6.37259943911e-21	0.999368358255	-7.04096137405e-21	-1.16500117472e-20	3.1763735522e-21	0.999472498084	222.456550947	3.41613516605	2.69225444468	3.40852374623	-2.40421901617e-05	-2.79926959131	2.68653586683	-2.79956126999	-7.72847731043e-05	222.714634998	3.41247816989	2.6896526156	3.41247816165	-2.4016452832e-05	-2.79656434143	2.68965266449	-2.79656432042	-7.72100841126e-05	0.0015987213637	0.0	0.0	0.0	-0.000631841314689	0.0	0.0	0.0	-0.000527641094082	222.894439632	0.00145355387089
54	18.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0018	6.03510974919e-21	-4.23516473627e-21	1.2030514829e-20	0.99925793165	-6.08804930839e-21	9.44309387291e-21	-1.56701095242e-20	0.999387358761	224.442364247	3.45326583892	2.67103371238	3.44450313645	3.09573167398e-05	-3.16099282899	2.66460104505	-3.16140230575	-8.07981142388e-05	224.746728621	3.44917423527	2.66821448782	3.44917419774	3.09206369485e-05	-3.15765646203	2.66821448777	-3.15765651674	-8.07128333878e-05	0.00179838194138	0.0	0.0	0.0	-0.000742343819004	0.0	0.0	0.0	-0.000612828980326	224.940134511	0.00165233838288
