6	header
postResults v2.0.2	--cr texture,f,p --time 512grains512_tensionX.spectralOut
addCauchy v2.0.2	512grains512_tensionX.txt
addStrainTensors v2.0.2	--left --logarithmic 512grains512_tensionX.txt
addMises v2.0.2	-s Cauchy 512grains512_tensionX.txt
addMises v2.0.2	-e ln(V) 512grains512_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	texture	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	6.13798216321e-12	-5.13004670219e-13	9.78207603579e-14	-5.13004670219e-13	6.92654119504e-12	4.30065306802e-13	9.78207603579e-14	4.30065306802e-13	7.3844186606e-12	6.13798216321e-12	-5.13004670219e-13	9.78207603579e-14	-5.13004670219e-13	6.92654119504e-12	4.30065306802e-13	9.78207603579e-14	4.30065306802e-13	7.3844186606e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6017606294e-12	0.0
6	2.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0002	7.94093388051e-23	-2.3127969927e-21	-6.89455040563e-22	0.999937780351	1.65436122511e-23	9.26442286059e-23	7.41153828848e-22	0.999942801107	40.6589785155	0.544048818918	0.618985326198	0.54390618715	6.16107283356e-07	-0.271789882911	0.618826155711	-0.271791247608	8.80484065573e-07	40.6638343866	0.543971145459	0.618900061632	0.543971145455	6.16019322162e-07	-0.271752444146	0.618900061651	-0.271752444167	8.80362779835e-07	0.000199980002666	0.0	0.0	0.0	-6.22215847226e-05	0.0	0.0	0.0	-5.72005289191e-05	40.6915929895	0.000173151641476
12	4.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0004	1.5881867761e-21	-3.97212130148e-21	8.43724224804e-22	0.999875542643	-4.16899028727e-22	-1.34995875969e-21	-7.41153828848e-22	0.999885585156	81.343756799	1.08843938608	1.23831774424	1.08786877429	5.80309331933e-08	-0.543644457696	1.23768098992	-0.543649917933	7.83286509438e-08	81.3631910449	1.08812868248	1.2379766905	1.08812868249	5.80143678061e-08	-0.543494728779	1.23797669051	-0.54349472878	7.83070779029e-08	0.000399920021327	0.0	0.0	0.0	-0.000124465102459	0.0	0.0	0.0	-0.000114421389877	81.4187007783	0.000346290732539
18	6.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0006	-7.94093388051e-22	-3.21938694406e-21	-2.77105505205e-22	0.999813286879	5.74394217357e-21	1.31025409028e-21	1.16467030247e-21	0.999828352155	122.05434178	1.63317185939	1.85799725547	1.6318877921	8.0815606502e-08	-0.815563638753	1.85656439561	-0.81557592774	9.87856192194e-08	122.098093057	1.63247275429	1.85722989478	1.63247275429	8.07810121009e-08	-0.815226807538	1.85722989479	-0.815226807539	9.8744820343e-08	0.000599820071968	0.0	0.0	0.0	-0.000186730554065	0.0	0.0	0.0	-0.000171662578177	122.181344325	0.000519417282621
24	8.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0008	-5.21454658153e-21	5.33035186729e-21	-4.47670147514e-21	0.999751013054	4.6322114303e-21	-2.77932685818e-21	-1.90582413132e-21	0.999771102102	162.790737649	2.17824628337	2.47802399379	2.17596315795	8.00190899913e-08	-1.08754744607	2.47547639819	-1.08756929931	9.79548405479e-08	162.868560783	2.17700339081	2.47665981523	2.1770033908	7.9973431641e-08	-1.08694873963	2.47665981523	-1.08694873964	9.79009153664e-08	0.000799680170564	0.0	0.0	0.0	-0.000249017948396	0.0	0.0	0.0	-0.000228924099122	162.979544723	0.000692531307131
30	10.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.001	3.28225267061e-21	-3.0440246542e-21	6.03841847164e-22	0.999688492631	1.17790519228e-20	-6.08804930839e-21	2.17052192734e-21	0.999713480402	203.256363657	2.74050352178	3.09455890743	2.73691292531	7.91747085155e-05	-1.33913925594	3.09058168343	-1.33917272884	0.000116203646667	203.377971016	2.73855040438	3.09243075496	2.73855040788	7.91182818409e-05	-1.33821831935	3.09243076441	-1.33821831972	0.000116123732506	0.000999500333083	0.0	0.0	0.0	-0.000311555897499	0.0	0.0	0.0	-0.000286560652582	203.516879473	0.000865826010346
36	12.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0012	-4.39398341388e-21	3.50724579722e-21	-2.38228016415e-21	0.99961783838	9.50265087701e-21	3.86458782185e-21	5.18807680193e-21	0.999650947006	237.119701331	3.33613893004	3.41523591833	3.33086695517	0.000871594038248	-1.63442139027	3.40995194253	-1.63447556424	0.0010526598617	237.29318192	3.3333038613	3.41244665341	3.33330387103	0.000870853352963	-1.63308653834	3.41244671824	-1.63308657815	0.00105180014153	0.00119928057548	0.0	0.0	0.0	-0.000382234662362	0.0	0.0	0.0	-0.000349113927176	237.452871093	0.00104347847409
42	14.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0014	3.28225267061e-21	-2.22346148654e-21	-1.05879118407e-22	0.999524211517	-1.46907276789e-20	-6.64391468003e-21	4.23516473627e-21	0.999579035445	254.504046766	3.71514801924	3.25897761956	3.70818892923	0.000187403077074	-2.22875405099	3.25305126399	-2.22887645356	0.000279722375665	254.732427824	3.71151650042	3.25597058286	3.71151649955	0.000187219892501	-2.22669759464	3.25597041321	-2.22669774984	0.000279464277713	0.00139902091371	0.0	0.0	0.0	-0.000475901706255	0.0	0.0	0.0	-0.000421053185452	254.904875491	0.00123207259143
48	16.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0016	1.42936809849e-21	-3.70576914424e-21	-6.77957230048e-21	0.999417696182	-2.38228016415e-22	4.48001019759e-21	-1.00585162486e-20	0.99949996776	261.629394556	3.92897634344	3.23557164715	3.92041580675	-6.67851910322e-05	-2.72960539357	3.22878773702	-2.72982998261	8.60331907976e-05	261.912795958	3.92466248117	3.23228517434	3.92466246771	-6.67118635061e-05	-2.72683284675	3.23228521471	-2.72683273612	8.59458041554e-05	0.0015987213637	0.0	0.0	0.0	-0.000582473422712	0.0	0.0	0.0	-0.000500157297811	262.103350664	0.00142748249855
54	18.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0018	-2.43521972336e-21	-2.14934610366e-20	-6.33124040848e-21	0.999308022167	-7.99387343971e-21	5.4428484306e-22	1.69406589451e-21	0.999417415696	265.326711108	4.06153315604	3.22914436021	4.05143009743	-0.000141630595771	-3.12098276051	3.22146451934	-3.12132443177	-4.08195529963e-05	265.665210828	4.0565988429	3.22557436995	4.05659884937	-0.000141458530277	-3.11753234864	3.22557441401	-3.11753236814	-4.07744248168e-05	0.00179838194138	0.0	0.0	0.0	-0.000692217360165	0.0	0.0	0.0	-0.000582754072175	265.87175603	0.00162514107472
