sep=,
106,117,108,106,103,109,115,110,118,102,115,113,109,112,118,110,102,112,114,104,100,109,119,104,119,104,109,101,115,114,119
235,233,235,234,234,238,238,243,247,246,246,232,241,234,235,246,232,231,242,237,240,249,244,248,241,239,230,232,248,237,249
706.0,774.0,772.0,658.0,644.0,751.0,660.0,698.0,638.0,637.0,693.0,618.0,652.0,685.0,642.0,799.0,787.0,729.0,605.0,670.0,671.0,603.0,634.0,621.0,637.0,674.0,729.0,697.0,761.0,754.0,795.0
4,4,2,3,4,4,2,3,4,2,3,3,3,2,3,4,4,4,2,3,3,3,4,3,3,2,2,3,3,3,3
"[-6.81584234e-18 -6.80336863e-18 -1.63673663e-07 -4.91100742e-07
 -9.46918214e-07  1.20729471e-05  1.04126945e-04  2.64112163e-04
  4.45314759e-04  6.33626804e-04  8.24953015e-04  1.01819757e-03
  1.21291481e-03  1.40868484e-03  1.60515042e-03  1.80213652e-03
  4.34538096e-03  6.89170430e-03  9.43350004e-03  1.19693350e-02
  1.44989212e-02  1.70222471e-02  1.95393538e-02  2.20502764e-02
  2.45550333e-02  2.70536335e-02  2.95460920e-02  3.20324227e-02
  3.45126391e-02  3.69867660e-02  3.94548335e-02  4.19168677e-02
  4.43728932e-02  4.68229292e-02  4.92669867e-02  5.17050687e-02
  5.41371701e-02  5.65632945e-02  5.89834671e-02  6.13977299e-02
  6.38061258e-02  6.62086985e-02  6.86054930e-02  7.09965552e-02
  7.33819242e-02  7.57616321e-02]","[-6.81584234e-18 -6.80336863e-18 -1.63673663e-07 -4.91100742e-07
 -9.82329486e-07  8.71602208e-07  4.42532159e-05  1.70409269e-04
  3.39697345e-04  5.23106886e-04  7.11931212e-04  9.03363561e-04
  1.09654220e-03  1.29109792e-03  1.48669342e-03  1.68299772e-03
  4.22381744e-03  6.77054032e-03  9.31334544e-03  1.18504070e-02
  1.43812362e-02  1.69057569e-02  1.94240062e-02  2.19360289e-02
  2.44418515e-02  2.69414867e-02  2.94349472e-02  3.19222522e-02
  3.44034151e-02  3.68784513e-02  3.93473867e-02  4.18102537e-02
  4.42670857e-02  4.67179081e-02  4.91627346e-02  5.16015639e-02
  5.40343822e-02  5.64611881e-02  5.88820029e-02  6.12968677e-02
  6.37058402e-02  6.61089769e-02  6.85063265e-02  7.08979296e-02
  7.32838239e-02  7.56640450e-02]","[-6.81584234e-18 -6.80336863e-18 -1.63673663e-07 -4.91100742e-07
 -9.70419341e-07  8.55090075e-06  9.05717967e-05  2.45169396e-04
  4.23843852e-04  6.10530222e-04  8.00449098e-04  9.92342278e-04
  1.18572697e-03  1.38022549e-03  1.57545903e-03  1.77122262e-03
  4.29991778e-03  6.83269195e-03  9.36166141e-03  1.18853303e-02
  1.44033788e-02  1.69156826e-02  1.94221996e-02  2.19229254e-02
  2.44178585e-02  2.69070069e-02  2.93903814e-02  3.18679852e-02
  3.43398139e-02  3.68058516e-02  3.92660854e-02  4.17205096e-02
  4.41691266e-02  4.66119360e-02  4.90489460e-02  5.14801931e-02
  5.39057218e-02  5.63255648e-02  5.87397341e-02  6.11482200e-02
  6.35510200e-02  6.59481484e-02  6.83396275e-02  7.07254841e-02
  7.31057385e-02  7.54804083e-02]","[-6.81584234e-18 -6.80336863e-18 -1.63673663e-07 -4.91100742e-07
 -9.46930927e-07  1.20608599e-05  1.04021299e-04  2.63820868e-04
  4.44790389e-04  6.32846748e-04  8.23903847e-04  1.01686969e-03
  1.21130063e-03  1.40678116e-03  1.60295216e-03  1.79964128e-03
  4.33906522e-03  6.88168470e-03  9.41992203e-03  1.19523405e-02
  1.44786545e-02  1.69988398e-02  1.95129066e-02  2.20208847e-02
  2.45227911e-02  2.70186322e-02  2.95084198e-02  3.19921696e-02
  3.44699023e-02  3.69416393e-02  3.94073991e-02  4.18671998e-02
  4.43210593e-02  4.67689899e-02  4.92110011e-02  5.16470979e-02
  5.40772883e-02  5.65015917e-02  5.89200358e-02  6.13326445e-02
  6.37394410e-02  6.61404497e-02  6.85356995e-02  7.09252272e-02
  7.33090734e-02  7.56872685e-02]","[-6.81584234e-18 -6.80336863e-18 -1.63673663e-07 -4.91100742e-07
 -8.53850143e-07  1.89811238e-05  1.25590366e-04  2.91646759e-04
  4.75059966e-04  6.64303036e-04  8.56242851e-04  1.04999322e-03
  1.24512920e-03  1.44120216e-03  1.63790806e-03  1.83509806e-03
  4.37935184e-03  6.92599333e-03  9.46793242e-03  1.20038486e-02
  1.45335028e-02  1.70568956e-02  1.95740695e-02  2.20850580e-02
  2.45898776e-02  2.70885373e-02  2.95810524e-02  3.20674359e-02
  3.45477023e-02  3.70218782e-02  3.94899934e-02  4.19520739e-02
  4.44081442e-02  4.68582231e-02  4.93023213e-02  5.17404416e-02
  5.41725793e-02  5.65987398e-02  5.90189512e-02  6.14332558e-02
  6.38416946e-02  6.62443109e-02  6.86411499e-02  7.10322575e-02
  7.34176721e-02  7.57974246e-02]","[-6.81584234e-18 -6.80336863e-18 -1.63673663e-07 -4.91100742e-07
 -9.75935985e-07  7.14717206e-06  8.46699393e-05  2.37313834e-04
  4.15906115e-04  6.03140882e-04  7.93815489e-04  9.86551442e-04
  1.18082850e-03  1.37626883e-03  1.57248713e-03  1.76926134e-03
  4.31145497e-03  6.85745557e-03  9.39910480e-03  1.19348610e-02
  1.44643829e-02  1.69876451e-02  1.95046862e-02  2.20155432e-02
  2.45202364e-02  2.70187752e-02  2.95111740e-02  3.19974478e-02
  3.44776097e-02  3.69516827e-02  3.94196969e-02  4.18816784e-02
  4.43376523e-02  4.67876382e-02  4.92316474e-02  5.16696830e-02
  5.41017401e-02  5.65278204e-02  5.89479464e-02  6.13621597e-02
  6.37705044e-02  6.61730249e-02  6.85697661e-02  7.09607737e-02
  7.33460879e-02  7.57257411e-02]","[-6.81584234e-18 -6.80336863e-18 -1.63673663e-07 -4.91100742e-07
 -9.82250851e-07  1.82729270e-06  5.27074283e-05  1.85888128e-04
  3.57293634e-04  5.41127007e-04  7.29716405e-04  9.20721179e-04
  1.11338370e-03  1.30736250e-03  1.50230763e-03  1.69790017e-03
  4.22826538e-03  6.76425888e-03  9.29663039e-03  1.18236219e-02
  1.43447867e-02  1.68600420e-02  1.93693468e-02  2.18727029e-02
  2.43701235e-02  2.68616172e-02  2.93472052e-02  3.18269087e-02
  3.43007423e-02  3.67687136e-02  3.92308217e-02  4.16870667e-02
  4.41374551e-02  4.65819953e-02  4.90206865e-02  5.14535359e-02
  5.38805791e-02  5.63018568e-02  5.87173903e-02  6.11271795e-02
  6.35312288e-02  6.59295554e-02  6.83221831e-02  7.07091365e-02
  7.30904366e-02  7.54661089e-02]","[-6.81584234e-18 -6.80336863e-18 -1.63673663e-07 -4.91100742e-07
 -9.79014480e-07  5.89148141e-06  7.86069572e-05  2.28282073e-04
  4.05655549e-04  5.92204468e-04  7.82352926e-04  9.74606203e-04
  1.16841264e-03  1.36341038e-03  1.55921329e-03  1.75557955e-03
  4.29308902e-03  6.83477928e-03  9.37234060e-03  1.19041932e-02
  1.44299764e-02  1.69496538e-02  1.94632256e-02  2.19707193e-02
  2.44721543e-02  2.69675372e-02  2.94568798e-02  3.19401990e-02
  3.44175154e-02  3.68888497e-02  3.93542195e-02  4.18136410e-02
  4.42671310e-02  4.67147018e-02  4.91563622e-02  5.15921173e-02
  5.40219747e-02  5.64459538e-02  5.88640816e-02  6.12763806e-02
  6.36828729e-02  6.60835819e-02  6.84785349e-02  7.08677669e-02
  7.32513186e-02  7.56292221e-02]","[-6.81584234e-18 -6.80336863e-18 -1.63673663e-07 -4.91100742e-07
 -9.82342141e-07  4.74659018e-07  4.02930172e-05  1.62568191e-04
  3.30388171e-04  5.13184532e-04  7.01729829e-04  8.92971780e-04
  1.08599722e-03  1.28041808e-03  1.47590985e-03  1.67213668e-03
  4.21256810e-03  6.75918242e-03  9.30193821e-03  1.18389723e-02
  1.43697764e-02  1.68942682e-02  1.94124829e-02  2.19244662e-02
  2.44302452e-02  2.69298337e-02  2.94232444e-02  3.19104969e-02
  3.43916049e-02  3.68665841e-02  3.93354602e-02  4.17982658e-02
  4.42550343e-02  4.67057915e-02  4.91505513e-02  5.15893133e-02
  5.40220643e-02  5.64488025e-02  5.88695483e-02  6.12843428e-02
  6.36932430e-02  6.60963051e-02  6.84935779e-02  7.08851026e-02
  7.32709169e-02  7.56510570e-02]","[-6.81584234e-18 -6.80336863e-18 -1.63673663e-07 -4.91100742e-07
 -7.94743165e-07  2.16795099e-05  1.32633714e-04  2.99770249e-04
  4.82983182e-04  6.71590564e-04  8.62761271e-04  1.05568095e-03
  1.24993023e-03  1.44506771e-03  1.64080349e-03  1.83700919e-03
  4.36811340e-03  6.90185115e-03  9.43136446e-03  1.19553990e-02
  1.44737175e-02  1.69862158e-02  1.94928738e-02  2.19936938e-02
  2.44886795e-02  2.69778430e-02  2.94611933e-02  3.19387343e-02
  3.44104566e-02  3.68763439e-02  3.93363849e-02  4.17905758e-02
  4.42389183e-02  4.66814132e-02  4.91180868e-02  5.15489882e-02
  5.39741617e-02  5.63936358e-02  5.88074152e-02  6.12154914e-02
  6.36178646e-02  6.60145501e-02  6.84055718e-02  7.07909590e-02
  7.31707397e-02  7.55449431e-02]","[-6.81584234e-18 -6.80336863e-18 -1.63673663e-07 -4.91100742e-07
 -9.82250851e-07  1.83221697e-06  5.27936475e-05  1.86212735e-04
  3.57957383e-04  5.42188240e-04  7.31201222e-04  9.22648068e-04
  1.11576623e-03  1.31021181e-03  1.50562805e-03  1.70169842e-03
  4.23826296e-03  6.78028147e-03  9.31843220e-03  1.18509604e-02
  1.43774028e-02  1.68977049e-02  1.94118708e-02  2.19199291e-02
  2.44219032e-02  2.69178023e-02  2.94076372e-02  3.18914251e-02
  3.43691868e-02  3.68409452e-02  3.93067190e-02  4.17665258e-02
  4.42203854e-02  4.66683134e-02  4.91103208e-02  5.15464126e-02
  5.39765919e-02  5.64008684e-02  5.88192659e-02  6.12318166e-02
  6.36385444e-02  6.60394747e-02  6.84346410e-02  7.08240828e-02
  7.32078429e-02  7.55859552e-02]","[-6.81584234e-18 -6.80336863e-18 -1.63673663e-07 -4.91100742e-07
 -9.81926356e-07  3.10460075e-06  6.23774003e-05  2.02835947e-04
  3.77140417e-04  5.62518685e-04  7.52154136e-04  9.44087673e-04
  1.13764517e-03  1.33248567e-03  1.52823143e-03  1.72459137e-03
  4.26374226e-03  6.80775932e-03  9.34771293e-03  1.18819211e-02
  1.44099627e-02  1.69317938e-02  1.94474366e-02  2.19569269e-02
  2.44602875e-02  2.69575286e-02  2.94486630e-02  3.19337062e-02
  3.44126754e-02  3.68855956e-02  3.93524908e-02  4.18133817e-02
  4.42682912e-02  4.67172385e-02  4.91602363e-02  5.15972894e-02
  5.40283981e-02  5.64535645e-02  5.88728107e-02  6.12861757e-02
  6.36936904e-02  6.60953885e-02  6.84913117e-02  7.08815061e-02
  7.32660143e-02  7.56448692e-02]","[-6.81584234e-18 -6.80336863e-18 -1.63673663e-07 -4.91100742e-07
 -9.75936033e-07  7.13975321e-06  8.45875645e-05  2.37062768e-04
  4.15436662e-04  6.02426744e-04  7.92842991e-04  9.85310728e-04
  1.17931182e-03  1.37447180e-03  1.57040613e-03  1.76689220e-03
  4.30537101e-03  6.84775676e-03  9.38592491e-03  1.19183317e-02
  1.44446357e-02  1.69648064e-02  1.94788508e-02  2.19867993e-02
  2.44886711e-02  2.69844735e-02  2.94742184e-02  3.19579222e-02
  3.44356059e-02  3.69072913e-02  3.93729970e-02  4.18327412e-02
  4.42865423e-02  4.67344136e-02  4.91763649e-02  5.16124012e-02
  5.40425289e-02  5.64667645e-02  5.88851360e-02  6.12976691e-02
  6.37043869e-02  6.61053144e-02  6.85004812e-02  7.08899249e-02
  7.32736866e-02  7.56517978e-02]","[-6.81584234e-18 -6.80336863e-18 -1.63673663e-07 -4.91100742e-07
 -9.81496301e-07  3.88537285e-06  6.73787001e-05  2.10734776e-04
  3.85666519e-04  5.70938460e-04  7.60197079e-04  9.51663519e-04
  1.14471261e-03  1.33900370e-03  1.53416151e-03  1.72990392e-03
  4.26052477e-03  6.79603588e-03  9.32779221e-03  1.18541453e-02
  1.43747103e-02  1.68894004e-02  1.93981739e-02  2.19010330e-02
  2.43979872e-02  2.68890459e-02  2.93742302e-02  3.18535569e-02
  3.43270359e-02  3.67946690e-02  3.92564511e-02  4.17123807e-02
  4.41624637e-02  4.66067068e-02  4.90451079e-02  5.14776821e-02
  5.39044712e-02  5.63255148e-02  5.87408306e-02  6.11504150e-02
  6.35542715e-02  6.59524171e-02  6.83448754e-02  7.07316713e-02
  7.31128240e-02  7.54883558e-02]","[-6.81584234e-18 -6.80336863e-18 -1.63673663e-07 -4.91100742e-07
 -9.82342141e-07  4.73387542e-07  4.02637092e-05  1.62443954e-04
  3.30118530e-04  5.12741093e-04  7.01099203e-04  8.92144967e-04
  1.08496774e-03  1.27918057e-03  1.47446138e-03  1.67047492e-03
  4.20810996e-03  6.75197876e-03  9.29208420e-03  1.18265628e-02
  1.43548938e-02  1.68770013e-02  1.93929061e-02  2.19026445e-02
  2.44062426e-02  2.69037125e-02  2.93950670e-02  3.18803230e-02
  3.43594963e-02  3.68326096e-02  3.92996899e-02  4.17607588e-02
  4.42158390e-02  4.66649506e-02  4.91081070e-02  5.15453136e-02
  5.39765701e-02  5.64018759e-02  5.88212472e-02  6.12347221e-02
  6.36423377e-02  6.60441305e-02  6.84401439e-02  7.08304246e-02
  7.32150163e-02  7.55939533e-02]","[-6.81584234e-18 -6.80336863e-18 -1.63673663e-07 -4.91100742e-07
 -9.79014468e-07  5.89745528e-06  7.86787347e-05  2.28508532e-04
  4.06084587e-04  5.92862221e-04  7.83252401e-04  9.75756801e-04
  1.16982167e-03  1.36508238e-03  1.56115113e-03  1.75778758e-03
  4.29877873e-03  6.84385213e-03  9.38466573e-03  1.19196417e-02
  1.44484180e-02  1.69709646e-02  1.94873122e-02  2.19974970e-02
  2.45015395e-02  2.69994489e-02  2.94912386e-02  3.19769228e-02
  3.44565164e-02  3.69300434e-02  3.93975309e-02  4.18590018e-02
  4.43144799e-02  4.67639845e-02  4.92075273e-02  5.16451125e-02
  5.40767379e-02  5.65024044e-02  5.89221350e-02  6.13359699e-02
  6.37439457e-02  6.61461013e-02  6.85424809e-02  7.09331310e-02
  7.33180929e-02  7.56973986e-02]","[-6.81584234e-18 -6.80336863e-18 -1.63673663e-07 -4.91100742e-07
 -7.94389808e-07  2.17483703e-05  1.33078183e-04  3.00856169e-04
  4.84845191e-04  6.74288058e-04  8.66333577e-04  1.06015689e-03
  1.25532936e-03  1.45140016e-03  1.64808554e-03  1.84524244e-03
  4.38855157e-03  6.93407901e-03  9.47490701e-03  1.20097494e-02
  1.45383818e-02  1.70608021e-02  1.95770448e-02  2.20871409e-02
  2.45911050e-02  2.70889452e-02  2.95806740e-02  3.20663030e-02
  3.45458497e-02  3.70193400e-02  3.94867984e-02  4.19482481e-02
  4.44037126e-02  4.68532094e-02  4.92967489e-02  5.17343343e-02
  5.41659641e-02  5.65916444e-02  5.90114065e-02  6.14252881e-02
  6.38333203e-02  6.62355401e-02  6.86319900e-02  7.10227159e-02
  7.34077566e-02  7.57871410e-02]","[-6.81584234e-18 -6.80336863e-18 -1.63673663e-07 -4.91100742e-07
 -9.81496297e-07  3.90025657e-06  6.75865489e-05  2.11437723e-04
  3.87035877e-04  5.73072164e-04  7.63140398e-04  9.55449320e-04
  1.14936575e-03  1.34454237e-03  1.54059311e-03  1.73724414e-03
  4.27958409e-03  6.82646755e-03  9.36913430e-03  1.19059382e-02
  1.44364862e-02  1.69607346e-02  1.94787272e-02  2.19905046e-02
  2.44960898e-02  2.69954936e-02  2.94887296e-02  3.19758160e-02
  3.44567650e-02  3.69315950e-02  3.94003349e-02  4.18630171e-02
  4.43196714e-02  4.67703201e-02  4.92149749e-02  5.16536352e-02
  5.40862900e-02  5.65129407e-02  5.89336090e-02  6.13483384e-02
  6.37571846e-02  6.61601999e-02  6.85574306e-02  7.09489186e-02
  7.33347023e-02  7.57148165e-02]","[-6.81584234e-18 -6.80336863e-18 -1.63673663e-07 -4.91100742e-07
 -9.82143377e-07  2.41623589e-06  5.73624144e-05  1.94105984e-04
  3.66800729e-04  5.51197176e-04  7.40076842e-04  9.31301485e-04
  1.12415826e-03  1.31830991e-03  1.51339533e-03  1.70910570e-03
  4.24041700e-03  6.77705099e-03  9.30995723e-03  1.18374168e-02
  1.43590040e-02  1.68746450e-02  1.93843044e-02  2.18879880e-02
  2.43857117e-02  2.68774850e-02  2.93633298e-02  3.18432689e-02
  3.43173185e-02  3.67854880e-02  3.92477781e-02  4.17041900e-02
  4.41547311e-02  4.65994103e-02  4.90382270e-02  5.14711892e-02
  5.38983330e-02  5.63197001e-02  5.87353113e-02  6.11451667e-02
  6.35492722e-02  6.59476461e-02  6.83403132e-02  7.07272989e-02
  7.31086250e-02  7.54843179e-02]","[-6.81584234e-18 -6.80336863e-18 -1.63673663e-07 -4.91100742e-07
 -8.96178052e-07  1.64256321e-05  1.18084494e-04  2.81998077e-04
  4.64416816e-04  6.53037577e-04  8.44435989e-04  1.03766560e-03
  1.23230383e-03  1.42791372e-03  1.62416844e-03  1.82091805e-03
  4.36004434e-03  6.90194378e-03  9.43938933e-03  1.19710180e-02
  1.44965804e-02  1.70160486e-02  1.95294281e-02  2.20367459e-02
  2.45380167e-02  2.70332461e-02  2.95224465e-02  3.20056345e-02
  3.44828299e-02  3.69540531e-02  3.94193193e-02  4.18786432e-02
  4.43320398e-02  4.67795202e-02  4.92210913e-02  5.16567593e-02
  5.40865396e-02  5.65104596e-02  5.89285429e-02  6.13408061e-02
  6.37472714e-02  6.61479608e-02  6.85428984e-02  7.09321163e-02
  7.33156530e-02  7.56935389e-02]","[-6.81584234e-18 -6.80336863e-18 -1.63673663e-07 -4.91100742e-07
 -6.01692377e-07  2.80031222e-05  1.48433453e-04  3.19220634e-04
  5.04099317e-04  6.93751171e-04  8.85829127e-04  1.07961836e-03
  1.27467449e-03  1.47055215e-03  1.66700998e-03  1.86391426e-03
  4.40295881e-03  6.94396243e-03  9.48035201e-03  1.20109185e-02
  1.45354735e-02  1.70539797e-02  1.95664399e-02  2.20728771e-02
  2.45733014e-02  2.70677186e-02  2.95561428e-02  3.20385918e-02
  3.45150832e-02  3.69856314e-02  3.94502447e-02  4.19089333e-02
  4.43617101e-02  4.68085838e-02  4.92495572e-02  5.16846431e-02
  5.41138729e-02  5.65372798e-02  5.89548778e-02  6.13666760e-02
  6.37726927e-02  6.61729496e-02  6.85674685e-02  7.09562737e-02
  7.33393991e-02  7.57168740e-02]","[-6.81584234e-18 -6.80336863e-18 -1.63673663e-07 -4.91100742e-07
 -9.75936032e-07  7.13974524e-06  8.45874669e-05  2.37062453e-04
  4.15436032e-04  6.02425717e-04  7.92841493e-04  9.85308684e-04
  1.17930915e-03  1.37446845e-03  1.57040201e-03  1.76688724e-03
  4.30534923e-03  6.84770775e-03  9.38583932e-03  1.19182011e-02
  1.44444528e-02  1.69645645e-02  1.94785439e-02  2.19864216e-02
  2.44882174e-02  2.69839392e-02  2.94735993e-02  3.19572151e-02
  3.44348081e-02  3.69064008e-02  3.93720118e-02  4.18316593e-02
  4.42853613e-02  4.67331312e-02  4.91749786e-02  5.16109089e-02
  5.40409294e-02  5.64650587e-02  5.88833249e-02  6.12957524e-02
  6.37023647e-02  6.61031864e-02  6.84982466e-02  7.08875817e-02
  7.32712329e-02  7.56492315e-02]","[-6.81584234e-18 -6.80336863e-18 -1.63673663e-07 -4.91100742e-07
 -9.82348790e-07  1.24609571e-07  3.65608527e-05  1.54876296e-04
  3.21171162e-04  5.03343695e-04  6.91619851e-04  8.82690613e-04
  1.07558633e-03  1.26989576e-03  1.46530615e-03  1.66147905e-03
  4.20185271e-03  6.74869498e-03  9.29173496e-03  1.18290706e-02
  1.43601761e-02  1.68849617e-02  1.94034607e-02  2.19157204e-02
  2.44217688e-02  2.69216205e-02  2.94152876e-02  3.19027896e-02
  3.43841414e-02  3.68593575e-02  3.93284624e-02  4.17914881e-02
  4.42484698e-02  4.66994353e-02  4.91443997e-02  5.15833615e-02
  5.40163049e-02  5.64432284e-02  5.88641540e-02  6.12791229e-02
  6.36881926e-02  6.60914219e-02  6.84888608e-02  7.08805494e-02
  7.32665248e-02  7.56468232e-02]","[-6.81584234e-18 -6.80336863e-18 -1.63673663e-07 -4.91100742e-07
 -8.96181059e-07  1.64244555e-05  1.18075703e-04  2.81975278e-04
  4.64376717e-04  6.52978642e-04  8.44357207e-04  1.03756621e-03
  1.23218326e-03  1.42777167e-03  1.62400443e-03  1.82073189e-03
  4.35956612e-03  6.90116927e-03  9.43831728e-03  1.19696487e-02
  1.44949163e-02  1.70140907e-02  1.95271760e-02  2.20341992e-02
  2.45351754e-02  2.70301110e-02  2.95190196e-02  3.20019192e-02
  3.44788305e-02  3.69497733e-02  3.94147617e-02  4.18738088e-02
  4.43269292e-02  4.67741338e-02  4.92154282e-02  5.16508198e-02
  5.40803279e-02  5.65039837e-02  5.89218087e-02  6.13338171e-02
  6.37400300e-02  6.61404697e-02  6.85351594e-02  7.09241285e-02
  7.33074142e-02  7.56850471e-02]","[-6.81584234e-18 -6.80336863e-18 -1.63673663e-07 -4.91100742e-07
 -9.82348790e-07  1.23335329e-07  3.65282142e-05  1.54731907e-04
  3.20850904e-04  5.02811983e-04  6.90859426e-04  8.81690268e-04
  1.07433796e-03  1.26839272e-03  1.46354438e-03  1.65945605e-03
  4.19639625e-03  6.73986112e-03  9.27963685e-03  1.18138215e-02
  1.43418738e-02  1.68637115e-02  1.93793525e-02  2.18888315e-02
  2.43921753e-02  2.68893966e-02  2.93805076e-02  3.18655255e-02
  3.43444670e-02  3.68173556e-02  3.92842172e-02  4.17450724e-02
  4.41999431e-02  4.66488495e-02  4.90918053e-02  5.15288161e-02
  5.39598823e-02  5.63850038e-02  5.88041964e-02  6.12174984e-02
  6.36249445e-02  6.60265693e-02  6.84224152e-02  7.08125286e-02
  7.31969536e-02  7.55757251e-02]","[-6.81584234e-18 -6.80336863e-18 -1.63673663e-07 -4.91100742e-07
 -8.96273998e-07  1.63897416e-05  1.17817038e-04  2.81305949e-04
  4.63202015e-04  6.51255928e-04  8.42059585e-04  1.03467446e-03
  1.22868278e-03  1.42365694e-03  1.61926442e-03  1.81536361e-03
  4.34616672e-03  6.88005136e-03  9.40982887e-03  1.19341610e-02
  1.44527892e-02  1.69656068e-02  1.94725866e-02  2.19737304e-02
  2.44690408e-02  2.69585302e-02  2.94422099e-02  3.19200847e-02
  3.43921490e-02  3.68583875e-02  3.93187894e-02  4.17733505e-02
  4.42220742e-02  4.66649601e-02  4.91020249e-02  5.15333124e-02
  5.39588683e-02  5.63787236e-02  5.87928853e-02  6.12013439e-02
  6.36041002e-02  6.60011701e-02  6.83925777e-02  7.07783509e-02
  7.31585132e-02  7.55330881e-02]","[-6.81584234e-18 -6.80336863e-18 -1.63673663e-07 -4.91100742e-07
 -9.75936143e-07  7.12317171e-06  8.44040652e-05  2.36504488e-04
  4.14393797e-04  6.00841630e-04  7.90686097e-04  9.82560836e-04
  1.17595248e-03  1.37049375e-03  1.56580271e-03  1.76165410e-03
  4.29201250e-03  6.82659340e-03  9.35732424e-03  1.18826669e-02
  1.44022908e-02  1.69160953e-02  1.94240391e-02  2.19261224e-02
  2.44223496e-02  2.69127305e-02  2.93972829e-02  3.18760164e-02
  3.43489349e-02  3.68160309e-02  3.92772956e-02  4.17327255e-02
  4.41823255e-02  4.66260991e-02  4.90640465e-02  5.14961939e-02
  5.39225864e-02  5.63432602e-02  5.87582294e-02  6.11674871e-02
  6.35710348e-02  6.59688892e-02  6.83610734e-02  7.07476125e-02
  7.31285248e-02  7.55038291e-02]","[-6.81584234e-18 -6.80336863e-18 -1.63673663e-07 -4.91100742e-07
 -7.12267420e-07  2.47403707e-05  1.40615232e-04  3.09853877e-04
  4.94193916e-04  6.83625622e-04  8.75563127e-04  1.06924054e-03
  1.26422429e-03  1.46006572e-03  1.65650166e-03  1.85339654e-03
  4.39282714e-03  6.93440948e-03  9.47140932e-03  1.20025771e-02
  1.45277096e-02  1.70467749e-02  1.95597783e-02  2.20667442e-02
  2.45676840e-02  2.70626027e-02  2.95515126e-02  3.20344302e-02
  3.45113743e-02  3.69823625e-02  3.94474066e-02  4.19065190e-02
  4.43597139e-02  4.68070007e-02  4.92483846e-02  5.16838742e-02
  5.41134924e-02  5.65372701e-02  5.89552253e-02  6.13673715e-02
  6.37737291e-02  6.61743192e-02  6.85691640e-02  7.09582922e-02
  7.33417406e-02  7.57195388e-02]","[-6.81584234e-18 -6.80336863e-18 -1.63673665e-07 -4.91100743e-07
 -9.82250853e-07  1.83134782e-06  5.27783107e-05  1.86154970e-04
  3.57839256e-04  5.41999397e-04  7.30937052e-04  9.22305317e-04
  1.11534253e-03  1.30970524e-03  1.50503789e-03  1.70102350e-03
  4.23649396e-03  6.77745886e-03  9.31460869e-03  1.18461866e-02
  1.43717292e-02  1.68911799e-02  1.94045323e-02  2.19118099e-02
  2.44130346e-02  2.69082142e-02  2.93973592e-02  3.18804876e-02
  3.43576199e-02  3.68287767e-02  3.92939752e-02  4.17532311e-02
  4.42065610e-02  4.66539776e-02  4.90954903e-02  5.15311037e-02
  5.39608233e-02  5.63846641e-02  5.88026518e-02  6.12148116e-02
  6.36211651e-02  6.60217351e-02  6.84165499e-02  7.08056445e-02
  7.31890603e-02  7.55668314e-02]","[-6.81584234e-18 -6.80336863e-18 -1.63673663e-07 -4.91100742e-07
 -9.82143377e-07  2.42139117e-06  5.74460711e-05  1.94409663e-04
  3.67411184e-04  5.52164881e-04  7.41424486e-04  9.33045444e-04
  1.12631070e-03  1.32088067e-03  1.51638814e-03  1.71252745e-03
  4.24941110e-03  6.79149317e-03  9.32965939e-03  1.18621896e-02
  1.43886401e-02  1.69089603e-02  1.94231537e-02  2.19312490e-02
  2.44332681e-02  2.69292191e-02  2.94191125e-02  3.19029647e-02
  3.43807955e-02  3.68526270e-02  3.93184776e-02  4.17783649e-02
  4.42323087e-02  4.66803243e-02  4.91224221e-02  5.15586071e-02
  5.39888820e-02  5.64132557e-02  5.88317520e-02  6.12444032e-02
  6.36512332e-02  6.60522674e-02  6.84475396e-02  7.08370894e-02
  7.32209598e-02  7.55991840e-02]","[-6.81584234e-18 -6.80336863e-18 -1.63673663e-07 -4.91100742e-07
 -9.82348790e-07  1.22340348e-07  3.65027299e-05  1.54619203e-04
  3.20601125e-04  5.02397583e-04  6.90267135e-04  8.80911583e-04
  1.07336676e-03  1.26722411e-03  1.46217531e-03  1.65788490e-03
  4.19218767e-03  6.73309237e-03  9.27042446e-03  1.18022776e-02
  1.43281060e-02  1.68478296e-02  1.93614439e-02  2.18689707e-02
  2.43704340e-02  2.68658435e-02  2.93552087e-02  3.18385476e-02
  3.43158809e-02  3.67872307e-02  3.92526143e-02  4.17120475e-02
  4.41655485e-02  4.66131319e-02  4.90548081e-02  5.14905822e-02
  5.39204570e-02  5.63444419e-02  5.87625584e-02  6.11748373e-02
  6.35813020e-02  6.59819759e-02  6.83768901e-02  7.07660826e-02
  7.31495961e-02  7.55274660e-02]"
