6	header
postResults v2.0.2	--cr texture,f,p --time 512grains512_tensionX.spectralOut
addCauchy v2.0.2	512grains512_tensionX.txt
addStrainTensors v2.0.2	--left --logarithmic 512grains512_tensionX.txt
addMises v2.0.2	-s Cauchy 512grains512_tensionX.txt
addMises v2.0.2	-e ln(V) 512grains512_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	texture	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	6.13798216321e-12	-5.13004670219e-13	9.78207603579e-14	-5.13004670219e-13	6.92654119504e-12	4.30065306802e-13	9.78207603579e-14	4.30065306802e-13	7.3844186606e-12	6.13798216321e-12	-5.13004670219e-13	9.78207603579e-14	-5.13004670219e-13	6.92654119504e-12	4.30065306802e-13	9.78207603579e-14	4.30065306802e-13	7.3844186606e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6017606294e-12	0.0
6	2.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0002	9.92616735064e-23	1.05548246162e-21	9.96752638126e-23	0.999937780351	4.36751363428e-22	-6.48509600242e-22	2.44845461316e-22	0.999942801107	40.6589785155	0.544048818918	0.618985326198	0.54390618715	6.16115640294e-07	-0.271789882914	0.618826155711	-0.271791247611	8.80489029026e-07	40.6638343866	0.543971145459	0.618900061632	0.543971145455	6.16027677907e-07	-0.271752444149	0.618900061651	-0.27175244417	8.80367742605e-07	0.000199980002666	0.0	0.0	0.0	-6.22215847229e-05	0.0	0.0	0.0	-5.72005289191e-05	40.6915929895	0.000173151641477
12	4.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0004	5.82335151237e-22	-3.21773258283e-21	5.20296605296e-22	0.999875542643	-6.35274710441e-22	-1.85288457212e-22	-4.36751363428e-22	0.999885585156	81.3437567989	1.08843938609	1.23831774425	1.08786877429	5.80090065575e-08	-0.543644457709	1.23768098992	-0.543649917946	7.83080214128e-08	81.3631910448	1.08812868249	1.23797669051	1.08812868249	5.79924474294e-08	-0.543494728792	1.23797669051	-0.543494728793	7.82864540537e-08	0.000399920021327	0.0	0.0	0.0	-0.000124465102459	0.0	0.0	0.0	-0.000114421389878	81.4187007782	0.000346290732539
18	6.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0006	-8.20563167653e-22	1.88597179662e-21	-1.20354779126e-21	0.999813286879	3.123433993e-21	-7.54388718648e-22	2.64697796017e-23	0.999828352155	122.05434178	1.63317185941	1.85799725547	1.63188779212	8.08323973051e-08	-0.81556363877	1.85656439561	-0.815575927758	9.88023617053e-08	122.098093057	1.63247275431	1.85722989478	1.63247275431	8.07977957164e-08	-0.815226807555	1.85722989479	-0.815226807557	9.87615559141e-08	0.000599820071968	0.0	0.0	0.0	-0.000186730554065	0.0	0.0	0.0	-0.000171662578177	122.181344325	0.000519417282621
24	8.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0008	-8.73502726856e-22	4.41714447103e-21	1.79084602618e-21	0.999750955924	-1.5087774373e-21	5.02925812432e-22	7.41153828848e-22	0.999771006431	162.713118338	2.18382782045	2.47521223775	2.18153872579	5.51152188677e-05	-1.07898243028	2.47266730005	-1.07900407336	1.87976551088e-05	162.790929247	2.18258195196	2.47384974845	2.18258195766	5.50837757686e-05	-1.0783885006	2.47384975228	-1.07838850414	1.87873078733e-05	0.000799680170564	0.0	0.0	0.0	-0.000249075092626	0.0	0.0	0.0	-0.000229019792031	162.901854423	0.00069258187325
30	10.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.001	-1.29701920048e-21	-8.80120171756e-21	-4.84066094466e-21	0.999681538966	4.04987627906e-21	4.6057416507e-21	-5.08219768353e-21	0.999709150415	197.517251452	2.77904038364	2.84468152841	2.77538000271	0.00108276396336	-1.36198848764	2.84101320897	-1.36202613229	0.00132083623193	197.637655868	2.77707182971	2.84274499223	2.77707184485	0.00108199697945	-1.36106130477	2.84274506042	-1.36106133095	0.00131993706374	0.000999500333083	0.0	0.0	0.0	-0.000318511753483	0.0	0.0	0.0	-0.000290891889944	197.770335873	0.000869614321466
36	12.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0012	-6.1939284268e-21	-1.09320189755e-20	-1.64112633531e-21	0.999586158856	-6.32627732481e-21	-2.97785020519e-22	4.55280209149e-21	0.999636483931	213.622520879	3.14028883541	2.7068099178	3.1352270219	-0.000166772971152	-1.94937257884	2.70258269642	-1.94947087261	0.000104803603273	213.788678889	3.13766559727	2.70468494895	3.13766563689	-0.000166633657464	-1.94784223274	2.70468479577	-1.94784238344	0.000104721327679	0.00119928057548	0.0	0.0	0.0	-0.000413926799879	0.0	0.0	0.0	-0.000363582156983	213.93568081	0.00105908897323
42	14.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0014	2.38228016415e-21	-1.8211208366e-20	-4.97466420389e-21	0.999478450249	-9.71440911382e-21	1.0766582853e-20	-5.71747239397e-21	0.99955605032	219.459060621	3.3238138445	2.69345034681	3.31743589848	-0.000207658382961	-2.40559574599	2.68849072294	-2.40578245196	1.06711374199e-05	219.671102082	3.32064120829	2.69108832455	3.32064120681	-0.000207460169542	-2.40348615793	2.69108834411	-2.40348609215	1.06617793621e-05	0.00139902091371	0.0	0.0	0.0	-0.000521685805379	0.0	0.0	0.0	-0.000444048254835	219.835330193	0.00125539244418
48	16.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0016	5.82335151237e-22	1.15937634655e-20	4.64213759765e-21	0.999368301709	1.68347798267e-20	2.82234025003e-21	-1.86347248396e-20	0.999472464903	222.410861427	3.41581170634	2.69206634335	3.4082008139	-2.43736749734e-05	-2.79934586627	2.6863480757	-2.79963761869	-7.71639438545e-05	222.668912462	3.41215516973	2.68946484823	3.41215516101	-2.43475835952e-05	-2.79664070091	2.68946489696	-2.79664068024	-7.70893759955e-05	0.0015987213637	0.0	0.0	0.0	-0.00063189789643	0.0	0.0	0.0	-0.000527674292595	222.84873532	0.0014535843308
54	18.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0018	1.14878843471e-20	4.44692297309e-21	3.57342024623e-22	0.999257854342	9.95263713024e-21	-3.60650747073e-22	-1.10114283143e-20	0.999387307545	224.376905714	3.45270875726	2.67065102571	3.44394720226	3.07300886856e-05	-3.16050963767	2.66421914325	-3.16091913489	-8.17521570866e-05	224.681210217	3.4486179904	2.66783241147	3.44861795319	3.06936796985e-05	-3.15717402497	2.6678324112	-3.15717408016	-8.16658755799e-05	0.00179838194138	0.0	0.0	0.0	-0.000742421184418	0.0	0.0	0.0	-0.000612880227724	224.874613525	0.00165238189235
