Stress MPa,True Plastic Strain
1.6e-12,-6.8083647454371605e-18
40.69159194,-6.80336863234654e-18
81.41870083,-1.6413271891705392e-07
122.1813442,-4.924727508769057e-07
162.9795446,-9.841160512769759e-07
203.813323,-1.6391518522479009e-06
244.6827004,-2.4586695135768444e-06
285.5876979,-3.4427588205738525e-06
326.5283368,-4.590510409594427e-06
367.5046381,-5.902013640426366e-06
408.5166231,-7.3783591494249855e-06
449.5643129,-9.018636721900208e-06
490.6477287,-1.0823936568685102e-05
531.7663752,-1.2791151075368205e-05
572.8593527,-1.4621138135395301e-05
613.3723602,-1.3601220632039352e-05
652.3669442,-5.1300649874068405e-06
687.8549062,2.0538566657459737e-05
717.4807417,7.495488292475925e-05
741.2202249,0.00015822697011614846
759.2010111,0.0002697376258290712
785.5195486,0.0006398512490375301
799.7960011,0.0010687586891057125
809.0434463,0.001522107701677561
815.9237084,0.0019867776179769312
821.5991624,0.0024571012673969624
826.4315309,0.0029313804378142375
830.6207859,0.0034086062027819577
834.2589173,0.003888278124305065
837.4455761,0.00436989716466153
840.2907943,0.004852931112607806
842.890321,0.005336895533895869
845.2845097,0.005821588715183991
847.4937044,0.006306911088114437
849.5428179,0.006792742643043937
851.4717189,0.007278890729565286
853.3079578,0.007765231114445936
855.0634846,0.008251711947711694
856.7514906,0.00873826409737389
858.3796978,0.009224851704562173
859.9516692,0.0097114566078993
861.4732275,0.010198050030469396
862.9528223,0.010684590017298238
864.3967997,0.011171048564283633
865.8077212,0.011657413771659146
867.1874691,0.012143681629809179
868.5388217,0.012629846316433869
869.8642005,0.0131159005274987
871.1651565,0.013601840663145095
872.4429372,0.014087659414976172
873.6989249,0.014573350900990309
874.934751,0.0150589061792086
876.1524105,0.015544316760451257
877.3540375,0.01602957156363628
878.5417313,0.016514660655763593
879.7173336,0.01699957419997986
880.8822022,0.017484303418536545
882.0372095,0.01796884359917277
883.1828668,0.018453193566190473
884.3194877,0.01893735098515017
885.4473331,0.01942131274586288
886.5667123,0.019905079532186593
887.6780315,0.020388649615647715
888.7817945,0.02087201985246239
889.8785386,0.021355189956296636
890.9687707,0.021838156770175397
892.0529383,0.022320919389884154
893.1314167,0.02280347621843586
894.2045084,0.023285826968624045
895.2724588,0.02376796959621577
896.335451,0.024249903322078804
897.3936182,0.024731628579416763
898.4470668,0.02521314391547341
899.4959142,0.02569444983068497
900.5403093,0.026175544691448005
901.5804289,0.026656428745438204
902.6164513,0.027137099233948428
903.648537,0.027617556474014582
904.6768189,0.028097798900116874
905.7014034,0.02857782705949905
906.7223789,0.029057640575998953
907.7398154,0.02953723915175063
908.753775,0.030016621522504415
909.7643213,0.03049578841762782
910.7715198,0.030974739558403408
911.7754369,0.03145347466228404
912.7761372,0.03193199245438201
913.7736747,0.032410292704914974
914.7680936,0.032888376225801874
915.7594341,0.033366241845982546
916.7477292,0.03384388942503447
917.7330122,0.034321317821258544
918.7153196,0.03479852787933895
919.6946915,0.03527552042864106
920.6711668,0.03575229330363649
921.644787,0.03622884632773329
922.6155878,0.03670518234901981
923.5836117,0.03718129818664887
924.5488974,0.03765719567594315
925.5114819,0.038132873659459214
926.4713969,0.03860833400230633
927.4286741,0.03908357556959377
928.3833394,0.03955859825111113
929.3354057,0.040033402991965984
930.2848894,0.04050798872237259
931.231795,0.040982357423182396
932.1761313,0.04145650805694942
933.1178992,0.04193044061984396
934.0571055,0.04240415608293045
934.9937571,0.04287765541684783
935.9278619,0.04335093758797979
936.8594247,0.043824004575901236
937.7884522,0.04429685435210215
938.7149527,0.044769489881264134
939.6389353,0.04524191012466461
940.5604105,0.04571411503762369
941.4793887,0.046186104575886996
942.3958818,0.04665787968881732
943.3099084,0.04712944029726743
944.2214878,0.04760078731911141
945.1306467,0.04807191864073468
946.0374184,0.04854283612043816
946.9418443,0.04901353858205539
947.8439708,0.04948402682814382
948.7438472,0.04995430064892069
949.6415234,0.050424360832050125
950.5370486,0.05089420616817492
951.4304698,0.051363836457299354
952.3218348,0.05183325349602353
953.2111845,0.05230245611030863
954.0985577,0.052771443135051804
954.9839896,0.05324021742046902
955.8675103,0.05370877583847793
956.7491479,0.05417712026950662
957.628917,0.054645249651428765
958.5068362,0.05511316490509713
959.3829132,0.055580865997746455
960.2571554,0.05604835089788804
961.129563,0.05651562160467086
962.0001351,0.05698267712192461
962.8688747,0.057449518436883604
963.7357791,0.05791614356103696
964.6008511,0.058382554482470046
965.4640943,0.05884875018586404
966.3255235,0.059314730608241564
967.185154,0.05978049668449762
968.0430095,0.06024604731378332
968.8991134,0.06071138239652633
969.7534946,0.061176502809750545
970.6061749,0.06164140846069201
971.4571797,0.06210609824126795
972.3065299,0.06257057406254406
973.1542415,0.06303483485643674
974.00033,0.06349887955698989
974.844805,0.0639627111233534
975.6876781,0.06442632650616657
976.5289528,0.06488972869053612
977.368634,0.06535291565561145
978.2067205,0.06581588940649882
979.0432146,0.06627864793341118
979.8781168,0.06674119323422095
980.7114265,0.06720352531148126
981.5431528,0.06766564312646951
982.3733017,0.06812754765365438
983.2018842,0.06858923884622833
984.0289164,0.0690507166356822
984.8544125,0.06951198196159174
985.678391,0.06997303274523523
986.5008709,0.07043387090576336
987.3218731,0.07089449535424186
988.1414106,0.07135490703535276
988.9595049,0.07181510485760866
989.7761735,0.07227509074654306
